id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,2.18,7.99,5.17,9.15,9.23,6.78,8.88,1.41,9.51,2.97
BU-002,9.39,6.41,5.58,4.26,1.51,4.95,5.53,5.36,4.26,1.17
BU-003,7.87,7.74,3.37,6.48,6.95,1.03,4.89,4.8,2.09,4.36
BU-004,6.02,3.84,7.55,1.64,6.76,5.92,8.14,5.25,2.03,3.39
BU-005,7.44,7.54,1.75,1.87,5.95,8.9,5.85,3.08,9.82,1.78
BU-006,4.51,8.77,3.91,7.86,6.99,5.7,7.21,3.92,8.4,2.04
BU-007,1.52,3.51,4.66,4.2,7.11,4.35,3.5,1.43,1.61,5.63
BU-008,2.21,1.86,5.53,8.82,6.34,7.92,8.25,6.82,6.04,7.28
BU-009,9.85,3.11,1.26,8.9,5.08,4.01,2.87,7.36,3.84,1.34
BU-010,1.74,3.08,8.03,1.96,3.76,9.92,9.3,5.29,1.54,9.6
BU-011,8.02,8.75,6.6,2.94,9.95,1.82,8.01,8.65,8.03,2.72
BU-012,8.63,4.45,2.17,3.9,4.02,1.55,1.3,5.03,3.3,3.88
BU-013,8.99,5.0,4.75,8.68,1.72,1.47,2.23,7.41,3.06,9.87
BU-014,6.12,1.09,1.39,9.85,1.33,7.92,7.78,4.62,8.84,4.75
BU-015,7.08,4.81,2.37,5.7,9.73,7.44,9.34,3.39,7.27,4.1
BU-016,9.0,9.94,1.5,3.27,5.68,7.59,1.74,6.53,6.86,7.48
BU-017,4.87,1.36,5.58,4.84,2.26,6.23,3.24,9.41,4.7,9.22
BU-018,9.21,6.36,9.45,6.77,6.0,8.06,1.47,1.25,8.5,4.24
BU-019,7.78,4.77,5.98,3.96,9.06,8.78,1.84,4.87,6.54,1.41
BU-020,5.61,9.3,6.14,9.11,1.62,7.86,2.04,7.06,9.27,1.79
BU-021,6.41,9.06,9.58,8.23,3.44,8.16,8.17,9.41,1.65,8.39
BU-022,3.75,3.55,3.49,9.95,3.78,3.67,5.89,8.36,7.92,8.45
BU-023,8.99,3.05,9.7,2.38,4.42,5.15,3.55,9.61,7.27,7.84
BU-024,5.55,1.32,9.53,5.21,4.58,5.41,6.66,7.09,9.11,2.24
BU-025,4.83,5.99,7.29,6.91,7.95,1.46,1.41,7.81,6.55,3.29
BU-026,9.5,9.05,9.59,3.47,8.45,2.78,1.69,6.59,5.1,9.56
BU-027,1.92,4.4,4.24,8.98,4.64,9.03,2.64,1.42,3.1,1.22
BU-028,2.13,5.9,1.14,5.32,9.52,8.52,2.45,5.81,1.88,9.8
BU-029,8.4,6.55,6.54,5.2,6.16,1.59,9.99,2.77,3.83,3.19
BU-030,9.57,7.71,7.91,7.29,8.36,4.48,4.01,6.43,9.97,6.14
BU-031,3.5,2.49,2.22,4.88,6.57,4.18,5.57,4.29,7.33,3.79
BU-032,8.25,6.37,5.34,1.02,5.64,9.24,6.79,9.75,3.91,4.16
BU-033,6.16,8.19,1.1,6.88,7.33,4.5,6.22,3.09,4.13,7.13
BU-034,6.33,4.72,4.4,7.95,5.52,6.12,5.42,8.9,8.72,6.77
BU-035,3.69,8.99,3.2,7.82,8.63,1.63,6.68,8.01,7.18,8.63
