id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,3.61,2.31,3.17,4.09,4.7,8.67,8.64,8.95,9.98,8.0
BU-002,5.11,4.16,3.18,3.0,9.53,1.48,7.04,9.76,4.15,5.08
BU-003,1.42,2.11,9.68,9.86,7.14,5.55,8.43,6.95,9.03,6.66
BU-004,8.14,4.02,9.35,4.6,3.57,9.12,2.13,8.88,6.97,5.92
BU-005,9.15,2.77,2.58,5.01,9.0,9.18,6.6,3.32,5.46,1.7
BU-006,4.05,4.79,9.44,5.72,1.85,6.74,8.61,6.66,8.32,1.36
BU-007,7.26,7.62,5.45,1.37,2.81,6.62,4.84,2.41,5.64,1.18
BU-008,3.94,2.89,3.86,5.23,5.59,7.52,1.98,8.32,9.6,5.11
BU-009,4.85,8.27,3.28,7.55,2.86,6.32,5.48,4.9,2.61,8.57
BU-010,2.64,8.62,8.48,8.9,1.94,5.9,3.63,8.08,5.12,8.86
BU-011,3.64,2.31,2.91,5.93,9.97,1.78,9.72,7.13,5.04,8.03
BU-012,7.1,1.99,7.12,7.88,7.38,9.51,4.29,8.92,7.23,2.45
BU-013,8.67,9.15,7.65,2.1,8.68,6.34,5.47,7.29,2.89,4.35
BU-014,5.93,9.1,4.53,5.57,5.54,9.5,3.81,4.2,5.28,1.05
BU-015,7.34,3.37,6.46,9.11,9.77,2.87,8.45,4.82,2.76,9.48
BU-016,7.23,8.11,4.96,1.61,7.82,3.99,3.05,4.12,6.81,1.7
BU-017,6.84,3.14,5.56,9.16,2.97,9.83,6.43,8.35,7.18,7.19
BU-018,6.81,7.44,2.55,1.84,6.64,6.41,7.34,3.4,3.8,5.22
BU-019,9.68,5.7,8.6,4.4,6.38,8.93,7.84,5.39,4.12,9.87
BU-020,2.25,9.54,4.8,5.32,7.27,8.2,2.5,5.01,6.14,9.21
BU-021,9.7,5.81,5.21,3.67,4.83,1.75,8.47,4.45,7.86,9.6
BU-022,4.3,2.24,7.2,2.95,3.62,6.57,7.44,8.15,6.61,2.69
BU-023,3.76,5.12,4.96,5.74,5.45,7.56,8.75,8.29,6.4,5.11
BU-024,3.68,6.83,5.92,8.46,6.36,4.56,2.09,3.6,3.2,8.25
BU-025,7.78,9.2,3.39,6.55,5.94,1.13,4.53,6.61,1.79,7.4
BU-026,2.78,8.92,8.3,2.16,7.97,9.98,9.79,2.28,1.76,1.28
BU-027,3.62,4.78,3.76,7.51,5.04,3.59,9.19,2.77,9.32,2.54
BU-028,9.64,7.54,4.71,1.32,2.57,1.36,5.44,3.45,2.23,3.02
BU-029,2.54,1.39,9.5,2.74,4.21,7.74,4.95,1.09,6.64,7.14
BU-030,7.11,4.91,3.08,3.78,9.91,8.59,2.28,1.79,3.07,9.81
BU-031,8.62,8.21,2.02,5.22,8.45,3.87,7.8,1.86,5.08,3.2
BU-032,3.36,2.06,2.99,1.48,4.43,1.76,4.0,7.47,7.7,5.94
BU-033,2.59,3.81,8.85,6.01,6.28,2.08,5.07,5.77,3.37,6.44
BU-034,6.37,7.48,3.06,7.48,7.19,2.43,5.47,6.52,5.65,3.61
BU-035,8.96,7.68,9.71,8.01,8.27,5.84,9.68,3.5,3.94,4.98
BU-036,6.34,8.34,1.73,3.07,5.45,6.25,8.11,5.8,2.94,1.69
BU-037,6.06,2.93,2.44,4.19,2.21,5.73,2.31,2.75,6.44,8.94
BU-038,8.41,1.81,4.5,6.03,3.86,1.16,2.35,9.42,8.58,6.07
BU-039,1.61,6.19,3.8,7.44,3.33,2.44,7.3,8.97,3.42,6.44
BU-040,8.31,7.43,7.97,6.39,5.26,7.35,1.38,7.23,3.8,8.21
BU-041,5.71,3.19,1.11,1.01,5.44,8.98,8.38,7.68,3.21,8.41
BU-042,4.64,3.73,6.05,2.02,7.02,5.82,4.6,8.58,5.83,2.47
BU-043,3.44,9.06,4.93,1.72,9.39,6.24,4.12,8.68,7.0,5.11
BU-044,1.49,4.86,8.39,6.06,9.97,6.81,7.49,7.38,2.96,6.36
BU-045,5.14,6.64,1.03,6.87,1.52,8.17,1.04,2.82,3.49,5.18
BU-046,3.25,8.16,2.88,8.86,8.16,2.71,5.17,4.12,2.76,9.77
BU-047,9.09,1.4,2.77,9.65,2.62,6.08,5.35,6.82,1.45,8.26
BU-048,3.23,5.56,9.13,5.84,8.69,8.51,8.45,2.51,2.22,7.18
BU-049,2.92,7.98,5.66,2.33,3.79,9.06,3.3,2.84,2.31,5.7
BU-050,8.35,8.99,7.75,8.42,9.95,2.99,8.34,6.31,9.73,2.96
BU-051,3.99,4.43,1.26,2.09,4.37,7.6,5.16,2.64,3.58,6.12
BU-052,6.11,1.2,2.99,2.08,2.89,4.28,1.89,2.58,5.2,7.98
BU-053,6.45,9.54,9.75,9.18,6.42,8.5,6.35,7.88,6.11,1.37
BU-054,2.93,5.82,2.0,1.61,9.53,2.6,6.08,2.86,6.85,6.06
BU-055,8.39,7.79,1.58,8.46,2.0,2.27,5.13,6.75,7.44,5.83
BU-056,5.61,5.8,9.68,2.99,7.51,4.22,5.74,3.7,3.12,1.08
BU-057,2.83,9.61,3.37,5.93,8.81,7.54,8.29,2.74,6.36,3.66
BU-058,4.61,6.77,5.55,1.68,1.37,8.72,8.36,3.46,7.03,7.57
BU-059,4.75,4.68,5.3,3.79,8.53,1.42,4.33,5.45,4.06,8.05
BU-060,3.25,1.24,4.28,4.32,1.68,6.49,2.18,3.4,4.54,6.24
BU-061,7.56,9.99,6.91,1.39,3.35,8.72,2.44,6.24,3.11,4.37
BU-062,2.34,3.13,9.92,7.68,7.57,1.11,8.93,5.68,4.55,9.77
BU-063,8.01,2.67,8.52,4.33,7.38,9.13,5.84,2.7,6.39,3.06
BU-064,3.11,8.04,8.53,4.31,7.65,7.6,9.52,6.54,8.64,1.13
BU-065,3.88,2.86,9.36,9.8,7.18,5.31,6.97,3.72,9.93,6.82
BU-066,1.37,4.45,7.1,3.54,4.79,1.35,9.4,1.23,1.45,1.89
BU-067,3.57,1.38,4.84,4.8,8.18,7.97,4.71,6.71,2.09,7.36
BU-068,8.95,9.75,9.07,1.25,4.84,6.26,3.14,2.25,7.93,5.95
BU-069,3.46,7.07,5.98,3.98,3.96,1.95,6.26,4.5,4.77,1.47
BU-070,3.69,7.27,5.27,8.54,1.41,7.76,5.68,4.04,6.03,1.37
BU-071,7.53,2.16,7.35,3.31,6.39,6.43,3.74,2.14,2.39,4.82
BU-072,3.45,2.12,2.41,7.24,7.12,9.22,8.73,8.96,2.76,5.64
BU-073,9.74,4.07,3.39,9.3,7.31,5.25,2.83,4.45,8.49,6.98
BU-074,2.66,7.95,4.13,1.3,7.59,9.56,2.13,5.03,2.32,4.03
BU-075,1.98,7.09,8.61,9.5,2.82,3.01,3.64,9.94,1.45,7.39
BU-076,1.38,7.06,4.64,3.86,2.98,6.92,2.56,9.45,2.89,5.93
BU-077,4.42,9.48,8.7,9.19,8.96,5.84,3.19,8.04,8.99,6.49
BU-078,2.29,4.35,5.68,7.46,8.04,7.66,6.68,5.66,4.93,2.84
