id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,9.96,5.33,5.93,5.88,7.33,3.74,8.8,8.65,1.44,4.12
BU-002,2.66,8.95,3.97,6.42,6.94,9.89,8.2,4.03,6.0,4.77
BU-003,7.31,4.49,3.41,4.95,5.61,5.44,3.62,3.26,9.34,7.28
BU-004,7.42,1.68,3.74,4.14,2.12,7.68,4.94,8.11,6.58,7.91
BU-005,4.37,9.53,5.87,6.25,6.65,6.17,7.95,6.15,4.39,4.51
BU-006,7.11,3.68,8.76,7.34,9.74,9.16,6.61,7.15,4.06,8.8
BU-007,8.62,9.95,2.22,3.73,4.32,8.5,6.51,7.98,6.89,6.38
BU-008,4.45,2.48,9.61,1.82,1.52,3.36,5.78,5.55,3.61,8.21
BU-009,2.62,9.63,4.38,2.34,7.42,9.09,9.65,1.47,5.21,4.93
BU-010,4.0,5.74,1.64,1.71,5.06,2.14,7.13,9.32,4.8,1.24
BU-011,4.59,5.13,4.6,2.26,9.81,7.19,7.49,6.22,5.95,4.63
BU-012,7.08,3.64,8.91,3.39,6.93,1.13,4.88,2.38,2.74,7.42
BU-013,4.14,7.65,9.17,7.77,2.29,8.8,7.41,5.96,5.63,4.58
BU-014,8.51,3.73,3.28,2.82,5.31,3.68,6.91,7.35,8.08,7.22
BU-015,9.45,1.95,5.31,2.13,8.57,5.24,4.12,4.63,8.99,8.76
BU-016,8.84,9.1,7.88,1.55,9.19,1.82,9.5,9.53,9.7,9.7
BU-017,6.24,5.31,5.94,3.43,6.83,9.28,2.38,8.67,7.08,1.56
BU-018,5.39,2.1,1.61,8.03,3.89,1.46,2.52,9.84,4.31,1.24
BU-019,1.22,1.1,8.28,2.47,4.39,4.91,5.75,4.76,8.97,8.3
BU-020,3.41,7.71,8.71,7.27,8.15,4.25,4.21,3.5,3.65,9.56
BU-021,4.94,9.83,2.88,7.29,9.35,7.54,1.54,3.92,9.61,6.66
