id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,5.61,4.74,9.22,3.43,6.96,5.87,3.48,8.75,9.06,3.0
BU-002,8.58,4.78,7.32,3.34,9.02,4.0,6.93,3.99,5.84,2.99
BU-003,2.2,2.3,4.67,5.1,4.06,2.91,9.73,8.35,8.99,9.32
BU-004,4.2,6.76,8.78,1.66,9.24,5.72,3.83,3.25,1.92,3.41
BU-005,5.7,2.63,6.53,3.84,7.38,6.62,2.89,10.0,4.61,4.18
BU-006,5.85,3.1,7.08,9.58,4.49,7.5,8.62,7.31,3.42,2.38
BU-007,3.98,6.88,5.91,3.97,2.9,3.95,8.25,2.54,4.4,1.75
BU-008,5.3,4.61,6.09,8.78,8.15,7.37,1.81,2.38,5.97,3.02
BU-009,3.49,3.4,9.99,1.88,9.3,5.01,4.36,6.83,3.2,8.95
BU-010,3.13,4.46,6.18,9.07,1.95,2.99,2.54,2.86,8.27,6.8
BU-011,4.1,2.38,6.91,6.19,4.64,1.26,5.17,9.12,5.58,8.4
BU-012,4.36,3.87,5.24,2.06,3.95,4.16,9.25,3.52,1.07,7.88
BU-013,1.78,8.33,6.05,3.14,2.13,8.08,6.39,5.07,6.8,4.43
BU-014,4.2,6.76,1.35,2.95,3.54,6.05,8.21,8.62,9.98,1.28
BU-015,6.49,5.2,9.88,2.35,7.55,1.08,7.44,1.51,6.49,1.96
BU-016,6.36,9.81,5.26,9.52,1.84,4.07,4.87,6.85,7.9,4.24
BU-017,7.12,9.7,4.8,3.16,1.85,4.43,2.84,6.43,8.51,4.15
BU-018,6.97,5.13,9.87,3.95,5.52,8.57,2.48,5.12,5.84,1.05
BU-019,8.37,8.44,4.99,3.29,5.94,9.6,7.96,2.29,5.28,7.17
BU-020,7.76,1.76,4.39,9.22,6.16,4.45,1.98,5.28,1.37,3.36
BU-021,6.42,5.4,1.06,9.72,2.51,7.6,3.75,1.86,9.87,3.64
BU-022,6.95,6.87,1.3,9.83,8.71,4.59,1.21,5.57,2.74,6.31
BU-023,1.85,3.78,9.2,1.09,9.25,8.61,2.53,4.13,4.53,4.02
BU-024,5.81,3.04,9.76,5.13,9.32,9.33,1.69,9.79,2.02,8.5
BU-025,4.81,7.34,1.33,7.49,2.65,9.69,4.74,4.89,8.83,5.92
BU-026,4.4,3.7,6.71,1.53,5.44,9.96,6.4,4.97,4.71,5.07
BU-027,7.25,9.68,9.55,6.98,4.77,4.55,9.34,1.12,8.5,3.66
BU-028,4.54,6.15,6.56,3.84,2.48,3.45,3.33,6.57,9.23,6.64
BU-029,7.85,8.32,3.88,3.43,9.74,8.03,9.39,4.5,7.49,7.47
BU-030,5.07,1.61,1.41,7.25,8.96,5.8,9.1,5.92,4.64,5.19
BU-031,4.39,1.87,2.31,2.92,5.22,9.63,8.14,9.18,2.49,1.73
BU-032,6.7,5.72,5.07,6.08,8.36,2.48,7.53,9.43,5.72,3.35
BU-033,9.43,1.26,2.02,6.77,8.86,4.75,9.52,1.35,5.13,7.05
BU-034,3.05,7.74,9.02,6.45,3.14,2.47,1.57,3.63,2.37,9.05
BU-035,3.97,1.52,9.28,2.87,9.86,5.6,5.15,4.43,5.95,8.28
BU-036,6.18,1.43,8.91,9.8,1.26,7.13,5.46,6.56,4.55,7.47
BU-037,1.9,6.41,1.65,9.18,4.38,6.66,2.35,1.14,9.58,5.24
BU-038,6.11,7.75,7.1,5.96,1.03,5.53,3.76,7.35,7.47,8.67
BU-039,4.91,7.67,7.22,9.35,4.39,2.96,8.23,1.57,4.29,7.47
BU-040,5.01,2.22,1.34,6.98,5.24,9.68,1.76,4.08,5.19,9.68
BU-041,2.04,8.28,2.57,9.01,5.94,2.7,7.43,3.14,7.08,1.51
BU-042,9.39,9.11,2.09,4.91,8.36,3.57,9.27,5.29,3.25,4.59
BU-043,9.53,2.86,1.18,4.45,7.44,9.57,9.57,2.96,2.59,9.44
BU-044,5.57,3.45,8.07,6.01,8.26,5.5,7.71,1.61,4.24,2.88
BU-045,2.25,8.0,2.68,7.57,5.4,3.99,2.44,9.59,7.82,2.73
BU-046,3.22,3.81,4.53,7.99,6.49,6.02,6.49,1.84,6.64,1.18
BU-047,1.01,2.84,8.72,3.27,5.86,3.52,4.63,1.35,6.83,4.53
BU-048,8.51,2.17,5.73,9.04,1.57,2.06,5.03,4.13,6.13,7.8
BU-049,8.6,6.56,4.43,7.91,4.36,6.21,5.56,4.88,4.51,6.0
BU-050,4.8,3.89,1.99,3.01,6.29,2.4,1.87,9.43,7.85,4.69
BU-051,4.97,5.16,6.12,7.37,6.36,6.78,1.83,2.86,2.94,8.86
BU-052,9.17,9.11,8.95,5.32,3.85,3.33,7.03,1.12,5.83,1.16
BU-053,5.11,7.9,3.69,6.45,7.57,4.58,6.5,4.53,9.89,4.63
BU-054,4.67,7.79,7.48,1.44,5.34,2.91,2.93,3.78,5.86,6.53
BU-055,3.22,1.49,5.7,1.17,3.28,6.81,1.93,7.06,8.89,5.8
BU-056,6.37,2.86,1.51,9.59,2.26,5.66,5.6,4.11,8.98,4.87
BU-057,6.45,8.04,5.5,7.17,1.59,8.06,4.02,3.33,9.2,7.6
BU-058,3.9,7.15,6.33,3.85,2.58,4.91,5.57,8.34,3.76,8.34
BU-059,1.44,9.23,7.59,2.77,2.21,5.88,1.68,1.37,5.68,2.75
