id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,9.06,4.1,7.25,1.71,8.59,2.22,1.85,6.27,7.92,6.42
BU-002,5.67,9.7,9.34,1.04,5.04,4.56,9.75,2.42,2.12,4.71
BU-003,2.37,5.4,3.11,8.27,3.74,1.71,6.58,1.87,3.09,1.24
BU-004,3.11,8.79,2.77,2.28,3.6,5.08,4.93,2.21,8.99,6.0
BU-005,8.03,3.29,3.43,7.62,4.79,2.97,5.03,6.96,3.96,4.89
BU-006,4.2,1.66,4.4,9.09,4.45,7.59,4.43,8.68,3.59,3.3
BU-007,8.92,7.14,2.62,2.64,8.82,7.83,2.6,5.62,6.99,6.23
BU-008,1.82,9.04,5.22,2.76,8.54,6.81,1.47,2.01,1.36,3.15
BU-009,4.13,2.03,5.1,8.56,6.35,3.5,4.36,1.46,9.75,5.71
BU-010,8.74,5.92,2.53,9.15,9.52,6.86,1.45,6.45,8.57,6.89
BU-011,2.18,7.52,5.52,9.11,4.24,7.89,4.46,9.05,6.06,9.51
BU-012,7.52,3.73,1.32,3.06,7.55,5.33,5.92,4.07,3.05,9.77
BU-013,3.64,2.14,8.3,9.11,5.64,6.66,4.12,3.93,3.98,4.47
BU-014,9.59,5.39,2.76,7.94,2.87,8.3,2.01,6.2,1.45,9.02
BU-015,5.89,4.51,2.91,3.9,4.05,4.73,8.74,1.02,3.96,6.7
BU-016,1.85,4.94,6.12,2.46,4.9,1.79,4.15,5.35,3.48,5.14
BU-017,7.23,5.26,9.4,6.28,6.01,8.19,9.3,4.74,2.08,2.36
BU-018,5.16,1.79,3.6,1.19,1.6,2.24,2.75,3.74,7.08,9.8
BU-019,5.76,7.86,9.35,3.86,7.37,1.39,5.0,2.15,2.35,2.87
BU-020,9.68,2.37,2.68,8.69,9.53,5.54,1.24,9.84,3.14,5.05
BU-021,1.45,9.51,6.54,9.29,5.11,7.91,3.67,9.23,2.12,8.96
BU-022,1.29,4.36,3.48,5.23,6.46,7.25,6.86,1.35,2.47,6.98
BU-023,8.41,2.85,8.65,2.27,2.74,6.48,6.95,2.08,9.73,9.1
BU-024,5.91,2.36,7.17,5.0,8.71,4.69,5.6,1.47,5.6,1.51
BU-025,9.34,6.52,8.47,7.9,9.58,8.75,1.69,8.53,3.58,8.38
BU-026,1.38,4.67,3.88,1.56,9.05,7.35,6.84,3.16,3.17,1.79
BU-027,6.29,3.5,2.56,2.74,5.75,4.68,4.14,3.54,3.89,4.02
BU-028,1.54,2.4,1.99,7.02,2.99,7.7,7.93,1.1,8.77,3.66
BU-029,2.52,7.11,5.11,8.11,4.86,3.77,9.38,6.86,6.87,8.38
BU-030,4.78,8.46,7.27,8.23,3.98,4.98,9.3,7.1,5.5,7.11
BU-031,3.91,5.52,1.12,9.81,7.5,2.25,3.88,5.15,7.99,8.27
BU-032,9.33,5.56,6.8,6.75,5.61,9.18,2.6,4.69,4.81,4.59
BU-033,9.54,3.04,8.32,5.37,8.03,8.92,6.23,9.21,2.04,2.64
BU-034,6.17,8.93,7.53,8.88,5.26,6.8,7.18,9.25,7.03,4.66
BU-035,2.06,7.04,3.32,4.57,8.31,7.24,2.25,5.27,6.22,5.1
BU-036,3.56,3.02,4.85,8.64,3.12,9.95,4.52,6.78,7.54,2.13
BU-037,9.97,5.49,7.51,3.18,6.49,2.13,9.55,3.53,9.04,1.62
BU-038,7.07,6.01,5.31,6.68,5.74,3.18,5.51,5.91,1.26,7.87
BU-039,4.38,5.47,4.54,8.66,1.16,8.82,7.77,8.53,3.08,1.03
BU-040,2.48,1.88,2.83,3.17,8.23,3.37,8.53,1.92,1.94,8.97
BU-041,5.2,9.43,3.75,5.09,8.22,9.97,8.53,6.82,1.61,3.49
BU-042,5.33,4.69,3.53,7.93,4.83,8.2,6.35,7.08,9.22,9.4
BU-043,9.34,4.44,8.51,2.85,6.26,8.8,2.9,1.84,3.5,8.71
BU-044,5.78,5.01,7.42,3.34,4.15,3.8,3.98,7.92,2.86,8.26
BU-045,9.62,8.5,2.37,9.33,2.15,9.47,6.67,3.91,5.44,5.26
BU-046,6.48,1.66,8.9,2.31,3.96,6.64,9.09,5.61,4.02,7.16
BU-047,6.2,4.58,2.55,8.67,8.2,9.23,8.41,4.0,4.48,5.58
BU-048,1.22,6.96,1.82,4.99,4.72,1.5,5.24,3.08,9.9,7.96
BU-049,2.51,5.64,7.33,7.4,8.19,1.33,4.08,9.74,7.04,5.77
BU-050,4.24,6.05,7.6,4.95,9.04,8.0,8.51,2.39,7.43,3.08
BU-051,9.14,1.94,1.74,7.51,9.83,1.61,4.57,6.49,5.63,6.33
BU-052,9.64,9.57,5.1,2.73,7.5,6.49,5.59,7.29,1.51,9.93
BU-053,9.87,3.07,5.76,2.11,4.3,6.51,2.4,1.65,5.65,4.06
BU-054,3.63,8.55,4.28,4.14,6.14,8.23,9.05,8.07,5.33,1.03
BU-055,8.93,4.56,6.85,1.44,3.66,9.69,6.95,4.67,9.12,9.96
BU-056,8.11,8.64,8.79,4.59,9.65,7.81,9.95,9.7,2.61,7.02
BU-057,1.79,6.56,8.72,6.15,1.42,4.51,9.9,2.85,4.63,5.35
BU-058,4.63,1.08,8.24,7.97,5.39,3.09,1.59,3.54,2.3,7.35
BU-059,3.4,9.26,2.29,5.52,4.46,5.16,7.52,6.48,7.78,8.33
BU-060,1.74,4.65,4.78,9.07,1.84,1.82,7.23,1.16,6.67,8.43
BU-061,7.64,7.88,6.45,6.06,2.8,6.54,8.18,8.84,6.31,7.26
BU-062,9.22,2.19,8.29,7.64,5.93,1.64,3.64,8.68,2.7,6.13
BU-063,3.52,9.64,9.89,6.12,4.46,5.03,6.6,2.45,1.92,3.83
BU-064,8.71,2.93,8.68,7.38,1.79,3.5,1.17,3.17,4.54,9.13
BU-065,6.07,8.42,7.5,2.65,5.38,5.47,4.39,1.47,7.62,8.13
BU-066,7.81,8.83,7.51,2.72,7.34,5.33,9.63,6.7,3.19,4.91
BU-067,9.51,7.37,9.47,9.98,2.24,9.5,6.38,1.46,7.68,9.41
BU-068,5.72,8.47,3.61,9.02,8.84,4.06,9.78,4.86,1.61,6.5
BU-069,7.64,2.03,1.36,3.21,9.97,3.98,9.33,3.04,8.01,8.47
BU-070,6.27,9.68,3.18,2.56,8.62,3.51,5.75,8.58,8.65,7.65
BU-071,8.54,6.6,1.74,1.77,8.7,9.03,2.05,8.1,6.21,9.43
BU-072,6.66,7.19,5.27,8.02,4.05,8.87,3.03,6.12,6.88,4.9
