id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,7.71,3.43,7.02,8.23,6.88,9.13,2.78,9.53,7.33,9.38
BU-002,2.87,5.8,1.54,3.01,9.19,6.16,1.21,5.22,3.05,6.69
BU-003,5.62,4.15,3.37,4.32,2.72,2.2,5.91,8.64,2.2,1.25
BU-004,7.79,7.72,8.8,7.98,1.23,3.16,3.29,1.81,8.23,8.83
BU-005,5.54,5.79,2.87,3.98,6.63,4.38,7.57,3.26,3.27,7.8
BU-006,7.97,1.29,8.56,6.81,6.1,3.79,1.78,1.38,5.23,8.56
BU-007,2.88,2.49,5.26,4.75,8.79,1.65,2.88,6.34,3.27,9.78
BU-008,9.13,5.26,9.08,4.81,4.69,2.53,4.31,7.42,1.07,8.73
BU-009,5.63,5.5,6.36,9.42,4.74,3.2,2.63,4.52,7.25,2.35
BU-010,6.65,1.98,4.58,4.38,6.43,7.16,8.25,8.02,8.85,4.25
BU-011,8.06,3.31,8.29,3.16,8.12,8.6,2.16,2.09,4.6,3.71
BU-012,9.36,9.66,4.69,8.87,8.54,9.64,1.68,3.55,6.11,8.87
BU-013,1.94,3.79,1.48,3.8,5.99,8.94,5.36,5.49,9.67,4.06
BU-014,6.86,3.93,3.31,3.94,3.65,3.22,1.75,3.61,1.46,4.3
BU-015,4.37,5.22,8.8,8.22,3.92,7.39,5.93,9.5,9.95,9.26
BU-016,1.42,9.15,6.86,7.61,5.96,8.48,9.57,5.7,1.22,1.34
BU-017,5.52,8.32,7.6,2.19,2.34,6.41,2.15,1.48,4.17,2.38
BU-018,8.66,2.92,2.59,7.59,3.71,4.03,5.97,1.85,6.42,9.26
BU-019,2.47,9.5,2.66,6.2,6.79,8.93,4.42,9.76,5.63,9.87
BU-020,8.45,5.15,7.19,1.66,7.58,2.5,7.97,2.21,1.81,5.99
BU-021,5.33,6.43,8.34,8.01,6.23,2.56,2.64,3.45,5.65,5.48
BU-022,2.56,7.81,9.24,5.35,6.33,8.15,8.58,3.1,3.4,3.7
BU-023,4.53,7.03,7.0,5.75,4.12,6.23,3.32,7.16,7.92,3.6
BU-024,9.13,9.41,9.55,7.88,3.46,1.16,1.98,8.69,1.77,9.69
BU-025,7.16,7.46,5.78,5.99,5.72,9.26,1.24,9.62,8.47,1.72
BU-026,6.6,5.91,4.38,9.52,4.98,2.35,6.8,6.84,2.09,1.2
BU-027,3.59,8.17,9.53,8.67,2.45,8.14,6.21,3.4,9.51,2.47
BU-028,5.26,3.5,3.34,9.13,8.76,5.96,2.35,3.7,1.7,8.28
BU-029,1.85,9.38,5.05,6.37,1.68,8.84,5.07,5.74,4.64,8.42
BU-030,8.32,9.71,1.83,7.36,6.23,1.53,2.13,6.67,7.15,9.27
BU-031,3.7,7.48,6.98,3.85,6.24,4.48,3.12,9.08,9.79,7.63
BU-032,8.34,6.76,8.44,6.04,1.69,8.3,7.23,7.66,4.13,4.51
BU-033,4.9,4.44,7.35,7.02,9.64,4.03,5.71,3.0,9.5,7.99
BU-034,5.55,1.91,1.67,1.86,3.32,6.4,8.55,5.72,2.69,4.74
BU-035,7.59,8.23,2.37,3.91,6.68,5.54,2.31,3.2,1.73,7.66
BU-036,3.46,6.17,6.25,8.46,6.06,7.64,2.14,7.69,6.52,2.29
BU-037,8.83,1.18,1.26,5.07,3.1,6.69,3.3,2.67,9.26,8.56
BU-038,4.22,3.28,5.51,3.26,1.44,7.71,5.81,7.27,1.38,1.35
BU-039,1.15,5.19,5.48,8.69,2.9,7.98,9.62,1.52,5.52,6.82
BU-040,7.37,3.6,1.47,7.78,7.01,7.7,3.02,3.74,2.52,5.74
BU-041,1.65,7.0,2.88,9.8,3.7,8.23,1.04,9.62,1.43,9.03
BU-042,5.15,8.23,9.36,7.83,5.37,5.05,8.63,9.76,5.95,1.84
BU-043,7.13,4.93,2.02,9.0,4.02,7.0,2.0,9.63,7.71,3.09
BU-044,5.81,4.98,6.74,9.98,9.26,4.94,7.79,7.25,8.38,3.3
BU-045,2.57,7.05,4.7,5.7,1.35,1.1,1.08,9.08,5.67,6.74
BU-046,7.44,9.3,7.04,6.15,7.36,7.09,6.88,5.3,2.26,7.77
BU-047,4.38,5.4,7.57,7.22,6.16,4.71,9.29,6.1,7.64,8.8
BU-048,3.05,5.71,7.92,4.65,9.83,7.36,6.11,3.85,3.64,6.85
BU-049,6.62,7.16,1.18,3.4,9.27,9.26,6.54,7.52,1.85,7.69
BU-050,5.99,6.62,7.13,8.77,2.66,4.05,4.8,3.8,9.25,9.3
BU-051,9.1,5.79,2.25,2.74,7.06,3.02,2.56,6.49,9.6,6.46
BU-052,1.12,6.29,7.08,2.04,7.65,2.62,8.81,9.94,1.34,5.63
BU-053,5.54,5.45,2.46,4.73,9.53,8.83,3.63,2.87,10.0,5.77
BU-054,8.57,6.99,9.16,5.55,6.12,9.0,2.1,3.51,8.19,2.24
BU-055,7.02,6.51,9.64,3.58,8.17,9.33,5.73,3.37,7.97,3.31
BU-056,7.4,3.58,6.99,1.25,5.03,5.75,5.3,8.0,4.0,1.77
BU-057,1.31,8.74,9.77,4.51,6.03,9.31,1.64,4.42,3.9,8.61
BU-058,3.63,1.68,5.98,5.07,3.78,1.44,3.82,2.18,2.9,5.9
BU-059,2.37,3.99,7.31,6.83,2.6,8.66,6.58,5.36,1.25,7.1
BU-060,7.04,6.99,5.49,1.49,2.91,5.43,7.51,5.75,4.51,9.34
BU-061,6.93,6.18,5.41,1.62,5.0,4.01,7.0,7.15,6.6,6.74
BU-062,4.0,8.26,5.92,3.59,7.62,5.27,5.7,3.97,1.54,4.27
BU-063,6.79,3.68,4.6,1.38,9.45,1.89,2.25,1.72,9.03,2.57
BU-064,5.88,4.75,7.86,9.93,9.33,7.35,6.0,1.47,6.9,5.38
BU-065,9.19,2.31,1.92,9.25,6.35,6.49,4.7,1.08,4.02,1.55
BU-066,3.44,8.99,7.95,5.46,2.7,3.43,5.99,4.33,6.41,6.43
BU-067,1.75,7.1,5.36,7.24,2.43,5.97,1.0,8.17,6.11,1.56
BU-068,3.72,4.67,4.02,3.56,9.74,3.46,9.37,5.67,2.6,1.86
BU-069,9.38,6.85,1.39,3.59,3.24,9.1,8.05,1.19,1.04,3.24
BU-070,7.87,2.1,1.49,5.37,6.84,6.03,1.74,2.84,7.3,2.44
BU-071,1.57,5.25,6.98,3.79,3.35,5.6,5.4,5.76,2.33,6.16
BU-072,7.84,1.09,7.11,9.12,9.38,4.5,7.89,9.24,3.87,9.86
BU-073,9.3,3.16,6.07,5.62,2.79,9.79,1.47,2.88,9.63,1.24
BU-074,2.49,8.78,9.66,3.61,1.18,1.47,6.77,7.65,6.37,9.85
BU-075,3.02,8.75,3.91,2.13,2.85,3.83,2.47,6.72,3.68,2.82
BU-076,5.61,7.38,4.77,2.09,6.77,1.7,5.73,1.52,6.77,6.2
BU-077,7.96,1.6,7.87,5.78,6.28,4.05,8.05,2.65,3.33,7.83
BU-078,4.64,9.52,5.11,3.85,3.86,4.79,2.79,2.39,8.59,3.94
BU-079,4.99,8.68,7.31,9.33,5.54,7.95,1.11,5.43,3.93,7.22
BU-080,2.84,3.74,6.5,6.19,2.9,8.43,9.25,1.24,2.85,6.52
BU-081,1.07,3.39,6.54,5.85,1.01,4.47,7.64,8.96,9.85,3.23
BU-082,1.08,3.3,6.91,4.05,7.02,9.31,6.71,2.0,6.56,4.16
BU-083,2.19,8.42,8.93,2.92,5.82,4.0,5.67,3.24,1.92,6.24
BU-084,1.9,5.11,4.37,8.97,4.17,3.38,6.37,1.15,8.69,1.49
BU-085,9.11,5.75,5.53,7.12,7.32,4.73,4.69,7.17,5.36,6.66
BU-086,4.19,6.07,8.53,4.69,4.49,3.39,6.14,9.0,1.24,4.92
BU-087,7.67,5.29,9.53,3.92,7.85,6.96,5.41,1.79,6.52,3.55
BU-088,8.27,1.89,4.98,5.03,6.84,1.38,6.74,1.39,3.36,5.85
