id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,8.64,3.38,6.05,8.95,8.64,6.1,3.55,9.57,8.15,3.75
BU-002,9.08,2.3,5.92,9.31,9.99,7.15,6.04,7.38,9.73,6.39
BU-003,7.46,9.66,3.66,6.64,8.75,3.38,2.37,7.67,9.47,5.18
BU-004,1.09,7.25,9.15,1.88,8.59,5.33,9.35,7.5,5.83,1.6
BU-005,3.71,5.85,4.24,8.35,9.82,9.76,8.22,9.25,7.12,2.71
BU-006,4.13,4.34,8.81,2.92,5.37,7.24,1.28,5.75,8.99,3.31
BU-007,3.53,8.04,2.85,6.49,5.54,2.1,6.97,4.12,3.56,1.28
BU-008,3.44,4.1,7.54,2.53,9.8,3.74,7.82,6.88,5.48,7.33
BU-009,3.27,3.39,6.53,5.82,6.56,4.62,8.9,6.15,7.63,4.5
BU-010,2.08,1.52,5.96,6.01,6.87,1.54,5.5,3.86,8.53,5.89
BU-011,8.86,3.55,9.4,8.78,4.68,4.44,8.35,3.43,8.39,9.64
BU-012,4.19,3.89,1.41,7.92,4.27,4.81,1.8,9.74,3.69,7.61
BU-013,6.39,2.66,4.87,1.25,7.24,8.63,4.4,6.74,5.33,8.04
BU-014,6.33,4.39,5.62,7.03,8.62,5.03,1.05,1.27,2.73,5.61
BU-015,8.62,4.6,8.92,1.2,9.91,8.61,8.65,5.12,2.97,6.03
BU-016,2.07,9.71,3.6,8.79,5.24,4.32,5.01,6.61,5.26,7.34
BU-017,1.31,5.33,1.46,3.79,5.09,5.49,3.86,6.66,9.23,8.54
BU-018,5.54,4.99,8.95,5.75,7.62,2.44,9.05,1.01,8.85,5.49
BU-019,9.28,7.34,7.05,2.49,6.03,7.31,3.45,9.08,4.7,1.92
BU-020,3.53,8.98,9.22,4.71,5.38,9.8,2.11,1.4,6.57,1.68
BU-021,1.46,3.05,9.47,4.93,4.93,7.0,2.08,3.49,2.94,8.82
BU-022,4.76,6.42,7.5,9.1,1.88,1.63,1.14,7.52,7.79,8.26
BU-023,1.84,7.62,3.11,1.52,6.71,1.11,6.9,2.82,4.57,5.45
BU-024,2.36,5.06,2.29,1.73,6.53,8.07,5.59,6.62,5.61,4.21
BU-025,4.14,2.34,5.46,8.14,5.52,9.18,6.46,2.97,1.34,7.6
BU-026,9.24,5.17,4.77,6.13,5.09,4.19,2.77,3.46,4.22,1.04
BU-027,4.44,5.34,7.24,9.34,6.73,1.17,2.87,8.69,6.86,5.99
BU-028,3.0,8.58,4.25,4.64,9.44,6.92,6.75,9.05,4.09,3.21
BU-029,8.31,2.92,3.29,2.89,1.97,5.03,7.69,7.73,4.01,9.62
BU-030,3.22,2.15,4.06,4.99,8.0,4.89,3.42,6.66,7.19,5.04
BU-031,5.58,6.32,8.76,8.05,2.58,7.68,8.54,6.12,5.61,9.37
BU-032,5.75,2.35,5.4,8.52,4.63,5.24,8.78,6.36,1.16,7.95
BU-033,8.49,4.88,1.76,2.81,3.7,2.04,1.85,9.21,6.92,8.02
BU-034,4.99,8.96,5.6,4.92,7.33,9.28,1.94,8.6,4.97,6.21
BU-035,1.25,5.65,7.51,6.43,2.11,2.66,3.66,5.42,2.8,6.72
BU-036,3.88,5.8,8.68,9.74,7.63,1.88,5.73,4.08,4.24,1.2
BU-037,9.07,8.51,8.79,6.07,1.62,5.6,5.66,4.39,7.81,6.82
BU-038,4.47,3.56,6.08,1.6,5.27,7.93,1.98,2.91,5.89,6.72
BU-039,7.87,6.26,8.23,4.53,7.8,5.75,1.48,1.92,8.01,7.31
BU-040,3.35,6.12,5.61,8.59,6.44,4.95,1.23,6.89,4.07,1.57
BU-041,6.23,3.86,7.01,1.94,3.06,1.53,8.79,4.02,7.13,9.57
BU-042,4.7,8.42,3.26,7.22,6.61,1.77,6.83,8.47,6.11,2.68
BU-043,8.45,3.54,1.75,9.12,5.88,8.19,4.55,1.55,2.6,7.62
BU-044,5.63,9.87,7.58,4.47,8.25,6.21,8.37,4.53,2.12,5.38
BU-045,2.27,9.64,3.7,1.07,2.61,9.74,1.37,8.44,6.75,5.04
BU-046,1.04,9.08,6.18,3.15,6.73,7.6,2.44,7.28,3.96,2.55
BU-047,9.87,9.55,4.75,9.39,6.74,9.69,5.47,3.32,6.17,1.87
BU-048,5.56,3.48,1.52,7.1,2.44,4.04,9.22,8.3,2.02,5.0
BU-049,9.53,4.1,8.32,4.64,4.18,3.54,6.71,6.66,7.63,3.34
BU-050,9.53,9.99,3.34,9.01,7.4,4.83,3.27,4.63,9.6,3.61
BU-051,9.81,4.41,5.58,2.38,8.93,6.79,8.82,6.12,7.53,5.64
BU-052,1.17,2.28,2.21,9.69,1.38,7.1,7.94,6.12,9.23,6.39
BU-053,8.35,4.15,5.19,7.45,6.32,2.72,7.01,1.47,5.23,6.72
BU-054,7.13,9.39,3.0,8.57,2.05,8.08,7.59,7.43,8.83,2.71
BU-055,4.86,9.76,8.2,9.99,8.77,1.28,8.29,5.35,4.3,9.69
BU-056,3.18,2.72,5.56,2.91,8.56,4.22,2.58,5.05,9.17,5.11
BU-057,9.18,6.66,5.25,9.75,1.83,1.72,1.89,2.5,6.75,2.22
BU-058,6.21,8.76,7.43,3.46,9.41,7.65,5.34,1.27,2.59,2.75
BU-059,3.94,5.97,4.59,6.51,5.3,8.71,1.21,9.28,6.58,2.29
BU-060,3.1,7.12,9.34,5.4,4.84,6.37,6.91,5.63,2.79,3.75
BU-061,2.38,8.72,7.02,2.24,6.6,7.72,1.12,4.8,2.73,6.86
BU-062,2.51,6.05,9.97,5.39,9.18,9.49,9.63,8.39,6.54,3.98
BU-063,4.96,9.1,6.72,8.02,6.71,4.96,2.24,2.66,1.5,5.79
BU-064,7.31,2.04,7.14,5.44,3.59,9.54,4.82,7.29,7.72,7.05
BU-065,6.29,1.61,7.86,3.04,3.89,8.63,3.52,3.56,6.65,5.38
BU-066,2.43,2.52,4.09,1.26,3.03,1.72,4.68,1.91,5.57,7.92
BU-067,1.1,9.08,2.25,4.3,4.68,2.54,7.12,8.52,3.12,1.71
BU-068,4.62,7.08,4.49,4.14,6.62,3.1,5.59,7.77,4.57,9.91
BU-069,8.92,7.31,4.09,2.55,6.99,7.46,2.16,5.49,2.76,6.05
BU-070,5.12,8.33,6.39,2.52,4.21,1.18,8.28,7.78,2.04,5.05
BU-071,6.64,2.39,1.35,2.23,1.79,6.35,9.58,4.22,4.34,4.85
BU-072,8.72,1.73,8.09,8.85,4.55,4.79,8.58,8.87,5.32,6.55
BU-073,5.05,5.27,6.17,5.61,7.48,6.81,6.62,3.85,1.32,6.05
BU-074,1.56,7.32,1.43,6.38,6.72,5.45,9.61,8.17,8.15,4.69
BU-075,7.06,9.07,6.6,6.88,6.48,4.42,6.52,3.64,9.08,1.13
BU-076,6.7,8.99,7.47,1.92,4.57,2.05,6.85,6.38,2.52,6.32
BU-077,9.68,8.18,6.17,5.76,9.58,3.0,2.83,8.3,2.9,7.62
BU-078,6.76,8.38,9.15,2.61,7.31,1.41,1.88,8.32,4.17,7.33
BU-079,7.47,5.37,6.85,6.45,4.87,2.65,9.89,2.57,6.47,5.28
