id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,6.05,3.25,3.9,2.46,2.92,7.59,4.92,8.19,8.83,5.17
BU-002,1.37,4.33,5.13,4.19,2.5,4.6,3.14,9.21,1.94,7.91
BU-003,6.95,8.79,2.22,6.56,7.88,4.86,8.9,7.0,6.37,1.44
BU-004,7.83,2.76,2.95,8.8,7.73,3.07,9.0,3.12,2.81,5.82
BU-005,5.1,1.06,3.46,7.0,9.27,5.05,3.63,6.05,7.02,4.39
BU-006,3.42,1.36,1.7,9.46,1.33,3.94,7.62,1.45,7.02,2.62
BU-007,1.58,9.82,6.02,7.26,5.19,3.64,2.64,5.78,3.89,6.79
BU-008,9.48,5.29,3.57,8.1,7.91,6.89,2.72,1.11,2.08,3.63
BU-009,5.92,7.56,4.49,7.31,3.76,1.01,6.42,1.86,1.06,8.33
BU-010,3.38,5.29,8.66,5.81,8.19,4.16,2.36,9.3,3.08,2.98
BU-011,9.22,8.52,6.91,2.71,6.46,8.47,8.02,5.98,7.94,5.18
BU-012,3.94,6.35,5.34,8.36,5.63,4.88,8.49,5.58,4.85,5.43
BU-013,7.39,3.67,7.17,8.02,9.28,1.79,6.87,8.78,2.82,1.64
BU-014,4.07,4.49,3.1,9.46,6.98,2.08,7.18,3.62,5.82,8.11
BU-015,7.18,6.27,2.0,9.79,6.5,7.88,4.37,8.74,3.15,1.92
BU-016,9.18,9.5,1.41,3.47,4.75,1.63,5.49,9.35,7.73,3.13
BU-017,4.01,6.26,8.52,6.83,6.21,3.73,9.75,7.2,7.11,9.38
BU-018,3.81,5.27,9.3,9.65,6.54,6.49,3.66,4.76,5.15,8.64
BU-019,8.63,3.84,3.48,4.71,3.52,4.76,3.3,8.76,6.38,9.16
BU-020,9.78,9.12,6.94,5.7,2.76,9.57,8.66,7.44,2.49,3.47
BU-021,7.02,2.86,1.08,2.75,4.24,2.82,2.2,7.98,6.48,5.36
