id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,9.32,9.5,4.89,9.94,9.71,2.86,7.38,7.17,9.23,4.89
BU-002,9.09,5.28,8.77,7.41,6.89,9.3,6.34,3.01,4.32,8.19
BU-003,6.32,4.46,1.3,1.44,8.22,7.02,7.5,9.63,6.97,9.1
BU-004,8.49,7.88,3.57,5.42,8.85,6.54,2.97,3.18,9.53,2.49
BU-005,8.92,8.81,2.21,3.69,5.1,5.14,2.64,8.99,1.36,1.97
BU-006,9.01,9.77,8.18,4.06,4.29,4.55,8.71,4.16,5.12,4.89
BU-007,7.87,6.81,3.55,5.23,3.01,2.46,6.19,3.85,9.7,8.85
BU-008,1.17,5.29,2.54,8.18,8.94,9.44,1.06,7.3,8.29,2.07
BU-009,5.62,3.94,3.89,1.67,4.49,7.43,3.4,5.23,5.95,9.45
BU-010,9.82,1.62,4.6,5.44,8.94,7.77,9.43,9.4,2.3,4.54
BU-011,2.67,4.72,7.51,9.21,5.05,6.1,2.04,3.95,7.26,5.7
BU-012,2.58,8.25,8.71,8.46,7.69,8.05,2.03,4.06,8.85,6.21
BU-013,4.94,7.21,4.8,7.64,1.13,8.94,6.59,3.98,4.11,8.15
BU-014,2.29,3.52,5.72,3.89,2.84,4.16,8.76,7.99,3.97,6.95
BU-015,2.21,4.27,1.24,3.57,6.76,10.0,3.7,3.51,1.48,4.89
BU-016,6.37,4.99,2.01,6.17,2.95,5.2,3.04,3.98,1.59,5.03
BU-017,2.88,9.38,3.66,3.2,3.73,7.41,9.12,6.71,9.92,5.32
BU-018,8.47,3.44,8.15,8.94,9.68,8.47,8.8,2.37,8.12,4.14
BU-019,2.37,9.69,8.3,6.27,2.19,6.35,9.63,2.46,6.65,9.24
BU-020,2.64,5.94,7.58,7.76,6.78,4.76,2.93,5.95,8.5,5.55
BU-021,7.05,3.52,7.29,1.39,3.02,5.8,9.19,7.82,6.56,2.16
BU-022,4.31,5.51,8.79,3.39,9.46,2.29,4.78,9.36,9.31,4.61
BU-023,3.84,7.46,9.35,7.36,6.1,9.67,4.56,2.48,2.02,9.42
BU-024,5.73,3.02,2.66,2.92,9.71,8.21,8.0,2.9,5.32,1.6
BU-025,4.4,2.89,7.67,3.6,5.96,9.2,9.74,9.79,4.52,5.16
BU-026,5.77,6.41,5.43,2.52,1.68,7.63,6.47,7.43,6.29,5.18
BU-027,7.26,1.87,9.67,6.7,3.68,6.14,1.51,9.31,1.56,8.29
BU-028,9.8,5.74,3.44,1.7,1.11,4.8,5.75,1.4,9.58,7.52
BU-029,2.16,9.63,9.1,2.72,4.43,6.28,8.34,7.65,7.91,3.18
BU-030,7.76,5.2,8.4,5.98,8.4,6.63,1.38,8.28,3.65,7.29
BU-031,7.07,2.76,7.88,7.25,2.45,4.33,2.76,9.8,2.09,1.22
BU-032,5.09,8.49,6.69,9.76,9.91,8.85,4.77,2.24,8.78,5.8
BU-033,9.07,8.83,3.33,9.63,6.49,4.19,9.17,5.05,9.24,7.07
BU-034,9.19,8.51,5.07,7.61,7.69,4.77,6.49,3.01,7.98,9.8
BU-035,6.37,2.32,5.1,3.71,1.13,5.8,1.73,8.99,7.01,7.25
BU-036,2.69,3.94,1.1,2.57,8.84,7.55,4.62,5.45,6.54,6.32
BU-037,4.52,2.57,4.0,8.85,8.11,3.52,2.71,8.79,4.76,7.6
BU-038,9.75,7.75,1.4,9.93,5.02,6.44,1.77,5.49,1.22,3.38
BU-039,4.1,1.46,5.33,8.12,5.88,6.0,7.06,4.01,5.14,3.39
BU-040,8.99,9.27,8.11,3.75,5.64,9.99,9.09,4.25,8.35,8.22
BU-041,5.24,8.1,6.94,5.44,3.15,2.84,5.73,4.32,2.2,7.2
BU-042,2.21,3.5,8.6,2.73,9.25,6.25,10.0,6.89,1.52,2.0
BU-043,1.54,9.98,2.2,6.7,1.46,5.84,3.85,4.52,6.28,5.54
