id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,2.96,4.11,7.6,3.56,5.78,7.86,9.15,5.06,2.11,5.61
BU-002,9.88,1.83,1.09,3.01,4.87,7.44,3.22,7.21,6.64,3.1
BU-003,4.19,8.39,6.45,3.27,8.86,2.45,4.38,3.25,9.65,7.91
BU-004,9.25,8.79,1.77,7.47,1.68,7.07,3.95,3.68,2.25,2.98
BU-005,4.37,4.44,4.57,3.62,4.63,2.43,1.2,3.78,4.66,7.86
BU-006,6.53,9.7,2.37,3.1,5.01,5.39,7.09,6.27,5.49,1.31
BU-007,4.18,5.14,4.43,7.99,8.03,3.77,7.13,9.03,6.59,9.74
BU-008,2.67,3.41,6.79,5.31,7.2,6.97,6.42,7.96,7.27,3.95
BU-009,8.92,3.84,3.57,6.33,2.14,8.44,6.31,3.77,7.65,7.95
BU-010,5.77,7.04,2.54,6.76,7.43,3.6,8.17,8.99,9.3,8.88
BU-011,5.11,4.74,4.7,8.06,6.59,2.25,6.66,9.63,8.73,3.91
BU-012,1.86,2.87,5.35,5.15,7.22,6.29,1.05,8.54,1.48,3.87
BU-013,8.37,2.84,3.82,2.35,9.69,7.65,4.91,5.96,1.1,3.49
BU-014,4.48,4.0,7.27,9.64,6.95,1.15,5.97,8.25,5.24,5.03
BU-015,6.13,1.09,3.24,7.91,4.92,8.42,9.36,5.88,9.35,1.54
BU-016,9.48,7.15,2.31,2.8,1.71,9.39,7.3,7.17,5.49,8.03
BU-017,9.52,3.77,2.75,1.73,2.86,7.65,1.46,9.99,5.84,5.4
BU-018,8.08,1.57,3.66,8.81,3.43,4.6,1.44,1.41,2.13,2.19
BU-019,4.8,9.6,4.31,2.78,5.42,2.04,2.91,6.96,4.91,3.13
BU-020,1.53,7.87,8.16,1.8,8.95,7.14,2.8,6.42,3.41,6.99
BU-021,8.02,7.56,6.72,4.01,9.63,8.79,4.99,4.9,1.43,7.27
BU-022,1.81,9.6,9.9,1.75,7.25,8.83,6.52,5.93,9.13,7.82
BU-023,4.79,1.22,3.38,4.69,5.16,8.04,3.4,8.54,2.65,9.43
BU-024,5.48,4.82,6.69,4.6,2.87,9.99,2.84,6.56,9.41,1.15
BU-025,7.38,3.2,3.71,2.75,7.84,5.08,2.86,4.57,6.83,2.19
BU-026,5.26,8.12,8.83,7.37,5.25,8.19,7.84,6.32,8.36,3.87
BU-027,3.49,8.8,2.79,7.0,8.67,5.15,9.12,2.21,1.92,2.01
BU-028,5.24,5.97,1.97,9.72,6.3,3.92,1.16,5.56,5.01,1.76
BU-029,3.34,6.68,5.3,1.74,5.06,4.05,5.93,7.02,6.41,6.81
BU-030,6.3,6.06,7.68,4.27,2.12,4.22,9.24,4.71,5.4,1.96
BU-031,3.65,5.81,1.66,1.17,2.11,2.37,1.62,3.62,3.2,6.02
BU-032,1.87,5.09,9.42,9.48,7.0,8.0,9.38,5.02,8.51,8.3
BU-033,9.73,1.34,2.1,7.93,7.45,2.11,6.33,1.93,2.4,6.97
BU-034,4.59,7.37,4.43,4.33,6.48,2.05,4.04,6.98,4.09,7.6
BU-035,9.41,6.43,5.63,8.28,8.85,2.49,4.23,6.57,9.86,8.88
BU-036,9.0,2.52,7.4,2.35,1.22,3.7,4.61,8.47,1.77,7.43
BU-037,4.28,5.54,7.44,9.89,5.48,9.01,2.05,5.68,8.34,4.34
BU-038,7.23,2.84,1.31,7.48,5.05,6.4,7.94,8.59,4.53,5.92
BU-039,2.65,9.34,7.89,1.59,9.94,4.83,3.31,2.39,8.52,9.03
BU-040,7.15,9.48,9.96,5.91,8.53,9.65,1.79,4.56,9.11,4.36
BU-041,1.34,2.38,4.58,6.99,9.79,1.16,5.73,5.43,1.11,1.13
BU-042,3.79,8.61,1.45,5.04,8.61,9.29,2.19,1.81,4.05,5.09
BU-043,4.75,2.21,2.27,6.77,7.12,1.43,4.2,8.33,7.8,3.85
BU-044,1.35,8.48,3.43,5.14,6.32,3.61,2.69,9.36,2.74,6.72
BU-045,8.68,4.55,6.01,6.29,2.4,2.7,5.41,8.26,9.92,3.57
BU-046,7.35,5.22,6.62,9.85,9.9,6.45,4.86,5.71,9.25,8.15
BU-047,4.6,7.1,4.91,9.3,6.08,5.4,2.34,9.13,9.33,4.13
BU-048,6.2,8.42,6.44,7.36,2.85,1.4,9.92,6.98,3.94,2.65
BU-049,3.5,3.9,9.23,6.19,3.82,7.89,8.66,4.37,9.04,6.39
BU-050,1.8,5.38,8.15,5.63,9.33,1.66,8.84,1.79,2.5,3.88
BU-051,2.09,7.99,8.99,1.8,2.86,7.83,8.04,1.84,2.17,2.02
BU-052,6.03,7.92,2.68,5.74,3.29,2.09,3.79,6.77,7.23,8.3
BU-053,4.52,1.87,6.26,9.99,6.66,4.44,4.4,4.61,3.41,2.98
BU-054,6.78,8.4,1.6,3.84,2.33,8.23,5.57,8.71,9.47,7.42
BU-055,1.96,4.04,5.06,8.6,1.26,8.91,1.74,6.92,2.74,4.58
BU-056,5.96,6.11,9.34,2.07,6.46,5.75,7.99,8.86,6.88,5.06
BU-057,2.45,7.95,5.32,9.36,5.57,6.63,5.38,4.03,3.95,4.46
BU-058,8.47,4.53,6.42,3.98,9.25,8.98,2.23,8.92,3.85,5.72
