id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,3.66,8.94,7.28,1.56,3.63,2.52,7.07,5.43,5.9,3.18
BU-002,4.26,2.1,3.36,4.29,1.78,7.89,7.77,5.14,9.08,9.28
BU-003,5.6,1.2,8.63,5.79,4.36,2.03,8.18,5.78,9.38,3.75
BU-004,4.35,6.34,3.33,2.21,8.13,6.48,5.45,1.41,4.41,9.33
BU-005,9.58,2.54,1.81,7.88,8.9,5.36,3.61,5.16,1.91,7.16
BU-006,1.04,8.15,9.83,1.17,3.02,1.66,3.53,8.64,2.11,6.37
BU-007,8.19,3.54,1.52,8.12,6.63,1.97,4.04,7.65,6.36,9.41
BU-008,2.72,2.99,1.82,6.87,7.39,4.4,8.91,7.82,5.57,6.95
BU-009,4.06,8.1,2.17,2.93,8.84,8.73,1.51,5.82,6.67,4.18
BU-010,6.39,8.43,8.16,7.17,9.62,2.42,7.11,1.93,2.54,3.99
BU-011,3.39,6.0,5.53,5.8,8.19,3.26,4.41,6.7,5.76,1.01
BU-012,6.43,8.72,8.77,9.48,4.34,9.46,4.75,1.89,8.0,9.04
BU-013,6.4,1.37,1.39,4.11,5.58,6.22,8.87,1.58,7.8,5.23
BU-014,5.96,3.09,2.82,4.71,9.64,6.83,7.33,6.21,1.89,5.29
BU-015,4.55,8.6,7.35,6.21,6.81,2.47,4.84,1.41,9.07,2.66
BU-016,6.65,6.96,2.6,6.15,8.1,9.04,7.74,8.79,8.76,5.56
BU-017,4.08,7.99,6.82,7.54,7.48,7.93,7.54,4.83,8.18,4.22
BU-018,9.48,7.68,2.07,5.85,1.88,7.6,4.47,9.16,2.49,1.38
BU-019,4.52,3.44,7.3,9.58,7.6,6.2,2.15,9.77,4.94,8.28
BU-020,2.47,7.58,9.83,7.2,8.0,3.45,2.62,7.27,9.92,7.19
BU-021,3.09,3.34,4.66,6.42,1.25,6.09,4.81,2.32,9.27,3.52
BU-022,7.35,5.17,5.57,9.72,3.36,8.03,1.92,5.24,4.98,1.44
BU-023,6.77,5.78,4.8,5.22,6.81,8.37,3.41,2.64,6.95,7.23
BU-024,2.5,5.9,9.51,9.8,7.08,8.73,5.43,4.82,5.73,1.57
BU-025,7.11,7.69,3.85,5.42,3.34,2.91,8.21,2.45,9.49,6.74
BU-026,3.03,9.97,8.21,2.17,3.86,6.86,6.54,4.03,7.96,1.74
BU-027,7.22,1.69,7.63,9.23,5.58,3.23,3.02,4.16,3.14,8.86
BU-028,1.65,3.01,8.16,9.68,4.83,2.6,4.61,7.71,8.43,5.53
BU-029,7.37,8.06,9.65,2.21,7.47,6.25,4.28,8.68,1.96,6.66
BU-030,2.78,1.55,2.04,6.14,2.79,8.7,5.52,7.58,9.15,9.63
BU-031,9.03,3.49,9.73,1.07,7.77,4.2,4.04,2.62,5.42,8.69
BU-032,7.51,8.8,9.27,9.49,5.87,4.25,5.27,3.58,5.88,1.84
BU-033,4.97,6.44,3.97,8.46,9.81,5.12,6.7,7.87,7.67,3.92
BU-034,4.83,8.44,3.06,2.3,9.36,7.73,6.76,9.71,1.57,7.91
BU-035,1.55,8.15,2.17,3.71,3.35,1.27,9.2,8.4,9.64,5.7
BU-036,7.34,4.74,4.1,8.63,1.14,5.59,5.2,2.17,1.87,4.76
BU-037,9.8,3.9,4.15,7.78,1.93,8.46,4.9,8.95,4.32,7.17
BU-038,1.43,9.12,2.18,3.18,5.09,7.35,7.56,4.04,8.9,1.05
BU-039,7.99,6.27,9.39,1.82,9.19,7.49,7.56,2.03,4.92,4.75
BU-040,4.32,4.58,7.38,7.69,9.22,3.63,1.36,6.87,6.92,9.94
BU-041,8.92,2.51,4.94,3.01,8.49,6.74,3.78,5.1,9.7,8.8
BU-042,5.03,7.78,4.46,3.06,8.62,5.6,5.65,6.78,4.44,8.31
BU-043,8.74,6.47,8.14,7.44,7.97,9.02,6.44,1.98,7.75,5.07
BU-044,4.13,7.54,8.01,4.51,1.52,3.33,7.24,9.3,3.58,1.38
BU-045,8.66,2.33,4.81,7.0,5.27,5.22,9.38,2.78,5.74,5.35
BU-046,2.79,2.63,5.57,9.78,8.08,2.93,2.72,9.62,5.53,3.86
BU-047,2.0,2.48,8.14,3.57,3.74,3.31,4.5,1.84,3.72,9.98
BU-048,1.8,9.63,7.11,6.17,6.14,2.29,9.8,1.29,1.5,3.45
BU-049,5.62,2.67,5.71,9.83,7.04,8.66,3.15,4.87,8.74,1.89
BU-050,8.37,6.32,2.27,8.69,3.24,7.57,8.48,3.72,9.08,9.52
BU-051,3.92,4.34,6.28,8.16,3.47,3.86,1.92,1.78,1.94,1.56
BU-052,9.84,8.43,9.77,7.55,5.71,8.25,3.11,2.27,7.54,8.18
BU-053,3.93,6.56,2.32,7.66,6.39,9.21,2.47,9.34,5.97,9.31
BU-054,5.03,6.06,9.02,1.12,9.64,8.19,9.8,3.07,2.38,5.23
BU-055,6.06,5.77,6.72,3.19,6.9,3.24,4.12,7.9,1.94,1.68
BU-056,7.3,1.49,1.41,8.64,9.55,4.81,2.91,1.26,9.1,4.58
BU-057,7.83,9.12,8.55,5.97,2.25,6.6,9.33,9.58,4.22,1.39
BU-058,9.75,6.57,4.52,9.09,6.59,2.98,8.96,4.08,9.03,2.0
BU-059,9.64,9.8,6.34,7.73,9.86,1.43,1.13,3.68,1.08,9.12
BU-060,3.8,6.8,2.13,4.2,2.05,3.69,9.73,7.3,7.76,3.17
BU-061,7.08,4.24,5.17,7.98,4.03,5.09,9.4,9.04,8.48,1.23
BU-062,4.04,8.5,8.87,2.54,8.58,4.32,2.54,6.93,1.97,3.96
BU-063,1.89,7.34,1.44,8.18,7.8,6.63,2.85,5.62,6.07,2.12
BU-064,7.88,9.3,1.01,1.92,6.54,3.81,8.93,7.15,8.6,9.47
BU-065,2.42,2.12,3.13,6.26,6.89,8.7,5.68,6.18,4.53,2.86
BU-066,6.43,1.75,5.44,4.31,1.58,1.06,5.12,6.42,1.85,6.91
BU-067,6.84,6.67,3.73,4.17,2.65,1.42,2.38,9.56,2.02,6.71
BU-068,1.5,7.39,1.79,1.09,5.06,4.26,7.78,8.34,9.5,6.57
BU-069,7.7,6.24,5.77,4.89,4.9,6.61,5.66,7.25,7.62,4.72
BU-070,6.05,1.83,2.01,2.33,1.4,1.94,6.01,5.42,6.03,6.28
BU-071,4.62,3.53,3.58,3.24,5.95,4.09,1.78,3.32,5.47,4.64
BU-072,6.73,7.23,8.38,3.34,5.82,6.88,1.39,4.82,1.3,2.8
BU-073,7.67,6.93,9.73,8.18,9.62,9.65,5.91,1.59,2.78,1.86
BU-074,3.43,9.6,4.58,5.96,2.58,8.97,6.07,6.0,6.78,6.13
BU-075,9.51,8.02,4.62,2.19,2.1,4.61,5.94,4.67,1.53,2.11
BU-076,8.31,4.96,1.53,7.34,3.52,9.7,6.2,7.55,4.03,4.88
BU-077,8.62,5.47,9.58,7.65,4.24,1.25,1.27,1.88,1.8,1.47
BU-078,8.79,6.79,6.36,7.47,5.44,2.95,5.81,6.55,8.32,6.45
BU-079,4.25,1.31,4.78,1.86,1.97,2.02,6.76,5.57,3.92,8.58
BU-080,6.33,1.58,4.13,6.07,7.61,8.17,8.34,5.1,9.86,5.05
BU-081,4.67,6.43,3.39,9.27,9.52,3.13,5.22,2.08,1.78,9.47
BU-082,5.2,8.46,8.29,1.52,4.8,5.1,5.87,9.47,5.57,1.75
BU-083,8.88,2.06,8.28,8.32,6.24,2.23,6.73,2.28,6.03,1.14
BU-084,7.94,8.82,3.04,7.34,4.83,1.2,7.92,1.39,7.75,7.37
BU-085,4.63,3.57,6.81,8.17,9.8,9.8,4.48,4.35,5.58,2.45
BU-086,9.11,9.74,8.03,6.4,9.37,6.84,7.22,1.47,7.19,2.09
BU-087,9.81,6.9,1.57,3.9,1.97,7.37,2.48,2.5,3.11,8.96
BU-088,2.28,8.64,8.76,1.72,7.13,2.16,6.84,7.19,4.22,2.92
BU-089,3.44,9.87,2.45,9.95,6.65,1.93,7.11,7.02,1.53,6.64
BU-090,4.48,1.53,2.43,6.17,9.96,4.55,3.95,7.63,1.52,9.16
BU-091,1.7,6.53,6.53,4.53,1.61,1.55,6.55,3.46,7.17,9.94
BU-092,7.37,2.48,4.69,8.39,9.17,9.17,8.92,4.81,9.53,4.86
BU-093,6.07,1.69,9.76,4.53,2.78,5.32,5.62,2.22,7.56,3.35
BU-094,5.27,9.26,6.27,7.8,5.91,7.3,9.12,9.6,1.37,2.24
BU-095,1.09,4.8,6.94,6.56,7.84,9.65,1.72,8.04,4.18,3.06
BU-096,3.75,5.05,6.37,5.91,3.01,1.95,2.34,6.07,1.49,3.03
BU-097,4.49,4.53,7.69,2.54,6.84,6.59,2.9,1.07,9.1,3.87
