id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,8.69,3.89,3.79,6.2,9.65,4.79,6.74,8.74,2.53,3.69
BU-002,5.51,8.97,9.36,8.31,5.55,8.09,4.41,9.11,1.25,3.46
BU-003,2.25,9.9,9.72,3.7,9.4,9.13,3.82,1.85,5.62,8.24
BU-004,7.63,4.74,6.13,2.86,1.41,5.55,8.26,7.95,7.13,9.62
BU-005,9.04,2.17,8.51,6.58,5.28,6.44,5.17,6.77,1.94,9.93
BU-006,8.52,9.76,8.98,5.55,1.59,4.08,8.23,5.85,8.4,5.55
BU-007,6.58,8.84,6.34,9.17,6.95,3.66,7.23,3.05,6.67,7.42
BU-008,9.14,6.46,2.79,7.52,5.0,2.19,7.26,2.21,9.16,8.61
BU-009,5.42,7.14,8.55,7.25,3.18,1.43,8.9,2.09,1.43,1.85
BU-010,1.97,2.29,1.62,9.39,1.12,6.57,2.7,1.12,3.38,5.78
BU-011,3.39,6.37,6.58,5.42,8.36,9.72,6.68,2.13,8.24,1.35
BU-012,9.66,3.51,6.42,8.06,3.19,6.3,7.83,3.13,4.75,1.71
BU-013,7.15,1.3,6.02,4.75,6.32,8.57,8.89,3.51,8.99,6.48
BU-014,4.68,8.57,3.73,9.46,1.12,5.13,6.69,5.32,7.97,3.24
BU-015,2.57,1.74,7.91,8.06,3.68,9.51,2.98,5.14,6.0,3.16
BU-016,2.4,9.18,3.6,8.44,2.21,9.84,1.31,5.33,9.93,9.5
BU-017,9.02,8.33,6.18,6.33,6.61,6.6,5.21,4.25,5.95,4.34
BU-018,7.55,9.28,1.8,1.42,4.47,1.55,4.0,1.29,9.19,1.51
BU-019,3.9,7.54,9.7,2.31,7.49,2.54,2.68,4.64,9.7,3.61
BU-020,9.75,3.06,5.54,8.13,1.47,9.92,8.79,3.31,7.59,8.51
BU-021,2.17,6.55,8.87,4.06,1.06,8.17,4.53,5.54,4.59,8.07
BU-022,9.77,3.45,4.48,7.53,3.68,2.15,8.75,4.26,7.44,1.9
BU-023,8.33,7.34,6.69,2.1,2.5,1.59,2.33,9.4,5.15,6.58
BU-024,4.6,3.64,3.75,1.77,5.07,3.61,4.54,3.61,9.24,3.9
BU-025,5.1,3.04,5.67,2.74,7.16,4.59,1.51,9.32,3.6,2.9
BU-026,5.07,6.0,4.89,3.38,4.18,8.92,5.8,4.83,5.82,5.27
BU-027,3.35,6.22,7.87,3.45,3.02,9.27,5.05,4.07,9.18,5.46
BU-028,9.1,8.63,3.62,9.05,7.71,2.87,4.18,7.81,5.32,8.61
BU-029,8.49,3.85,3.91,1.12,3.98,7.34,2.93,3.0,6.91,2.44
BU-030,9.09,9.28,5.32,9.3,7.9,6.55,9.9,4.29,4.97,6.58
BU-031,4.06,2.55,4.95,5.4,4.01,3.11,8.0,7.06,7.75,4.05
BU-032,8.09,2.95,2.2,7.44,1.45,7.67,9.02,3.16,9.3,6.59
BU-033,1.69,9.73,8.48,1.47,7.27,6.05,3.98,7.22,2.59,1.89
BU-034,7.99,9.8,8.38,1.33,7.36,6.13,3.97,6.07,1.53,5.41
BU-035,6.84,5.29,9.6,7.06,4.6,9.51,6.5,7.44,6.61,2.09
BU-036,4.55,5.81,9.38,1.0,7.14,8.7,2.86,5.4,3.86,8.24
BU-037,2.35,7.72,8.18,4.44,3.74,9.15,4.42,7.33,1.96,1.5
BU-038,3.9,5.72,4.78,8.89,3.35,8.62,5.5,3.13,9.42,3.54
BU-039,8.84,4.53,9.59,3.93,8.47,9.86,4.48,4.33,2.88,8.56
BU-040,3.17,2.2,6.92,6.42,5.32,9.11,2.57,6.19,1.05,7.31
BU-041,6.84,9.71,4.23,7.29,7.07,8.62,7.96,5.44,7.35,1.79
BU-042,9.47,1.27,5.6,6.33,4.33,1.7,4.94,3.91,9.2,6.0
BU-043,9.63,9.61,7.24,4.76,5.21,1.49,4.9,5.34,1.3,1.78
BU-044,8.06,2.72,3.05,6.13,6.72,5.18,4.32,2.19,5.58,7.34
BU-045,1.99,5.99,8.58,4.32,6.16,9.16,8.3,1.06,5.31,4.77
BU-046,7.68,2.46,8.23,8.03,3.81,9.77,6.67,4.76,9.88,2.62
BU-047,4.2,9.96,8.07,6.74,1.58,3.54,7.92,6.43,2.14,5.5
BU-048,9.66,1.92,6.29,4.22,8.18,4.5,2.78,7.27,2.4,7.64
BU-049,7.94,8.36,7.15,4.7,5.65,3.67,6.32,2.82,6.73,6.83
BU-050,6.6,3.79,9.62,7.13,6.65,2.03,2.0,9.8,1.2,4.32
BU-051,8.65,8.53,8.78,3.87,3.42,9.58,5.78,1.38,4.56,3.62
BU-052,9.93,2.06,1.92,7.31,3.06,1.29,6.42,1.42,5.45,4.58
BU-053,7.59,1.67,3.39,5.78,9.03,4.92,5.35,9.71,2.73,4.72
BU-054,7.79,7.64,7.23,5.37,2.37,8.55,9.01,7.93,9.76,8.24
BU-055,4.48,4.25,6.39,7.78,2.78,1.95,9.16,4.15,8.29,1.24
BU-056,5.58,8.52,4.7,6.29,6.93,1.93,1.23,1.46,5.57,1.58
BU-057,3.15,3.51,7.9,9.97,4.17,9.4,3.5,3.91,4.55,2.87
BU-058,6.63,3.57,1.2,5.52,7.69,2.09,8.61,5.01,9.35,2.04
BU-059,8.59,9.56,2.67,6.91,2.56,7.45,7.74,1.41,7.52,3.98
BU-060,8.47,3.62,2.86,3.38,4.2,7.73,5.36,1.67,9.58,1.93
BU-061,7.73,4.25,5.11,9.84,5.08,5.14,6.49,1.45,8.89,6.79
BU-062,1.45,9.42,1.82,5.87,6.16,3.83,9.24,1.39,6.62,2.25
BU-063,8.67,9.36,7.32,4.63,4.37,7.3,5.87,5.2,2.39,9.88
BU-064,8.04,6.24,7.06,5.92,9.35,6.53,3.5,5.69,1.94,6.75
BU-065,7.47,1.62,6.17,8.42,2.01,2.12,7.49,6.56,4.06,3.94
BU-066,4.99,9.94,7.66,3.94,2.26,6.7,1.49,2.72,4.03,9.76
BU-067,9.14,2.2,3.89,5.72,2.8,1.58,8.98,4.8,4.06,7.64
BU-068,7.06,9.45,8.76,7.28,5.19,4.76,5.25,3.41,5.35,9.49
BU-069,1.87,9.29,6.06,8.74,5.02,6.54,5.96,9.68,5.14,3.32
BU-070,4.49,5.87,1.85,1.38,8.1,9.42,8.09,2.52,6.71,9.86
BU-071,2.6,6.98,3.63,4.46,8.1,6.9,8.92,7.4,5.53,1.27
BU-072,1.74,3.61,9.38,5.87,7.29,5.28,6.28,7.03,9.83,1.23
BU-073,9.44,3.7,4.04,1.74,6.84,9.27,5.19,7.04,1.61,1.54
BU-074,4.52,2.2,8.22,4.44,5.14,4.79,5.71,6.68,5.5,9.1
BU-075,3.33,3.13,9.52,3.06,4.32,3.41,2.67,9.5,3.73,3.33
BU-076,2.04,3.21,8.99,4.37,9.26,2.62,3.06,5.48,1.91,6.41
BU-077,6.47,9.99,1.29,5.29,3.48,6.18,6.54,6.27,2.07,1.34
BU-078,6.61,2.0,8.19,5.11,5.68,4.16,1.78,7.99,7.9,4.64
BU-079,9.2,9.86,1.53,8.92,4.59,9.7,7.58,5.27,4.85,3.94
BU-080,4.84,9.49,7.59,2.48,1.65,4.32,8.38,8.1,4.16,3.7
BU-081,8.0,3.6,5.81,2.93,8.6,6.32,4.21,1.84,8.72,7.44
BU-082,8.92,1.05,2.44,9.38,6.37,4.55,3.15,6.41,8.4,2.15
BU-083,1.39,2.47,5.7,7.05,4.44,6.81,2.02,1.66,3.58,7.51
BU-084,4.29,7.0,6.27,2.51,6.16,1.59,5.09,6.4,2.59,8.46
BU-085,6.42,1.34,1.32,2.7,4.55,4.24,4.19,1.09,6.95,6.74
BU-086,7.55,2.39,7.92,4.55,3.37,8.28,2.46,4.92,1.15,6.6
BU-087,1.11,2.78,6.84,8.37,8.7,3.02,5.03,1.93,7.29,2.3
BU-088,8.67,9.33,7.76,2.95,5.62,2.17,6.49,3.33,4.87,4.86
BU-089,9.25,6.04,5.2,3.99,6.95,1.69,9.98,7.06,2.64,1.78
BU-090,5.54,8.55,5.4,8.78,6.16,6.61,6.33,3.84,4.8,3.23
BU-091,9.8,1.33,9.16,3.43,1.96,7.36,2.25,2.02,7.58,2.01
BU-092,5.25,7.82,7.31,1.35,4.68,1.59,9.83,2.96,4.18,5.41
BU-093,1.11,8.77,1.63,9.76,7.24,1.52,2.32,1.81,9.27,6.77
BU-094,7.42,5.82,2.18,9.59,4.7,1.26,2.03,1.36,5.78,6.74
BU-095,2.49,3.75,8.15,6.4,1.22,9.63,4.83,3.72,6.21,9.53
BU-096,8.89,8.49,9.61,8.04,8.04,2.43,2.4,6.97,6.76,1.94
BU-097,2.58,4.06,7.87,4.0,9.25,5.08,5.06,3.56,7.67,8.85
BU-098,4.95,5.9,5.72,2.16,1.91,4.31,4.76,3.62,6.64,3.7
BU-099,1.24,6.7,3.79,3.39,7.07,3.41,4.39,8.88,6.99,9.51
BU-100,5.51,8.35,5.68,3.52,7.07,3.11,2.03,7.5,7.44,8.61
