id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,3.25,4.87,4.99,5.12,6.79,6.11,5.7,7.05,7.43,4.8
BU-002,1.95,4.6,6.37,7.45,6.4,8.95,5.15,6.3,9.88,3.5
BU-003,2.9,6.97,6.57,6.84,3.51,7.92,6.0,8.41,3.85,5.45
BU-004,9.79,4.75,6.92,7.72,8.18,5.5,4.52,2.02,3.14,7.9
BU-005,2.76,9.86,3.03,3.49,3.93,9.78,2.19,2.39,1.42,1.73
BU-006,9.8,7.05,9.23,8.33,3.8,2.25,3.64,2.35,4.35,7.98
BU-007,5.31,3.16,1.05,1.09,3.96,8.82,9.4,5.21,7.66,9.69
BU-008,3.86,6.35,3.29,2.44,1.71,3.44,6.49,7.44,4.1,6.29
BU-009,6.03,6.26,5.02,6.85,7.01,5.4,1.02,3.53,2.25,6.74
BU-010,9.1,7.05,6.06,2.12,1.44,8.22,4.9,2.37,1.83,9.4
BU-011,6.38,3.61,8.64,1.43,8.9,7.6,6.92,5.62,1.95,3.28
BU-012,1.33,5.54,1.41,2.43,9.92,4.99,3.49,4.49,4.58,8.85
BU-013,9.3,4.13,3.48,5.43,8.55,7.26,7.09,8.02,6.95,9.6
BU-014,1.0,7.67,1.18,3.73,2.92,6.84,2.34,1.1,7.43,8.76
BU-015,1.41,6.77,5.08,5.86,6.14,3.44,4.95,7.88,4.69,3.75
BU-016,7.33,8.66,6.76,6.43,6.04,9.94,9.55,1.27,7.84,9.35
BU-017,7.45,5.49,5.58,6.73,3.67,4.59,9.8,7.02,2.26,7.83
BU-018,3.9,7.95,2.89,8.17,6.26,3.5,6.24,3.05,8.76,9.88
BU-019,5.63,9.56,9.25,5.66,2.81,8.1,1.62,4.1,8.45,2.53
BU-020,8.44,8.44,9.91,8.25,2.76,5.93,6.28,7.1,1.32,1.04
BU-021,9.49,5.86,9.41,3.01,8.42,6.88,8.76,5.77,6.67,4.27
BU-022,1.67,5.94,1.11,4.89,5.14,2.16,6.04,9.1,4.43,7.51
