id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,1.81,8.1,3.85,7.1,7.18,5.52,1.52,7.05,3.79,5.34
BU-002,9.8,4.64,8.94,1.21,3.12,1.02,4.62,2.51,4.58,8.62
BU-003,9.74,2.64,7.13,3.12,9.4,3.49,9.83,3.88,4.36,5.49
BU-004,1.64,2.22,8.94,4.75,3.72,9.09,9.89,7.25,4.16,1.47
BU-005,6.66,8.8,6.04,8.43,5.67,1.58,5.69,6.44,8.4,8.43
BU-006,1.04,3.95,7.7,2.73,3.51,6.35,4.94,2.66,3.16,3.2
BU-007,3.92,5.21,7.42,4.2,5.78,9.12,7.2,9.47,9.38,1.93
BU-008,3.02,7.46,6.36,5.33,8.47,4.74,5.08,3.75,3.99,8.3
BU-009,6.87,9.1,3.11,1.01,1.47,6.75,6.41,7.6,1.87,7.14
BU-010,2.31,7.93,7.44,3.42,3.47,3.28,9.03,7.38,1.94,9.1
BU-011,8.87,3.93,8.88,9.67,9.56,3.9,9.58,7.62,7.21,6.09
BU-012,6.34,4.59,5.29,1.69,3.48,9.88,6.43,1.41,5.53,4.9
BU-013,9.96,7.63,7.81,7.46,6.15,7.56,2.43,1.36,10.0,6.72
BU-014,9.22,6.74,8.72,1.81,6.61,2.14,7.22,9.66,9.46,2.22
BU-015,7.97,1.64,5.53,4.11,4.29,7.99,9.88,4.29,8.46,7.35
BU-016,7.18,3.27,9.79,9.09,4.68,1.76,2.39,4.77,2.32,2.48
BU-017,2.39,9.99,9.94,5.43,1.31,5.24,1.79,8.1,6.63,3.5
BU-018,4.98,2.26,2.2,3.97,4.55,4.12,6.23,7.22,5.01,8.33
BU-019,5.71,3.82,1.98,4.72,2.01,2.28,3.28,3.47,8.02,1.72
BU-020,6.38,3.81,2.51,5.47,3.57,3.72,5.2,8.67,8.0,4.03
BU-021,2.63,3.86,3.21,1.78,1.92,8.04,7.58,3.03,5.26,2.18
BU-022,8.78,8.37,3.4,1.21,2.73,6.56,6.64,4.09,6.42,3.89
BU-023,8.97,2.48,8.6,3.83,3.4,1.79,9.34,5.69,7.77,1.64
BU-024,7.94,8.33,2.36,7.56,9.79,1.12,4.1,9.51,8.89,9.55
BU-025,1.14,7.44,2.8,3.39,8.62,3.37,2.71,2.46,4.25,5.68
BU-026,5.73,6.7,4.77,9.76,9.36,4.19,9.66,3.22,8.59,4.68
BU-027,7.25,8.69,8.53,9.45,1.46,8.47,5.05,6.16,8.61,6.91
BU-028,8.84,4.58,1.77,1.01,7.83,1.17,7.67,6.38,6.24,5.78
BU-029,9.37,2.31,2.31,4.17,8.47,9.55,8.91,6.49,8.45,1.31
BU-030,4.18,2.47,1.51,4.53,9.66,3.84,4.61,2.99,6.43,8.38
BU-031,9.21,6.59,7.46,6.02,6.92,3.86,7.84,3.12,4.58,6.05
BU-032,6.12,4.47,1.57,2.47,9.91,2.58,8.18,1.47,6.37,4.32
BU-033,6.0,6.77,6.99,2.72,9.82,7.5,8.13,1.87,5.92,3.26
BU-034,9.88,6.97,2.21,6.99,5.74,8.26,2.8,8.13,2.58,5.07
BU-035,3.15,5.65,3.39,3.61,6.35,6.09,4.07,6.7,7.24,8.96
BU-036,1.26,8.17,6.99,7.83,1.03,7.54,1.01,6.44,2.74,1.88
BU-037,6.59,4.51,4.68,6.84,5.68,7.67,1.55,2.48,5.69,4.92
BU-038,4.73,1.54,3.43,3.19,6.61,9.85,2.28,4.5,5.3,4.05
BU-039,2.65,1.98,8.55,4.16,9.4,9.57,7.03,7.59,7.48,4.63
BU-040,3.67,8.53,3.88,3.05,2.26,8.19,8.19,4.28,2.78,6.46
BU-041,2.54,8.44,3.17,2.02,1.58,7.02,4.56,7.14,2.93,6.08
BU-042,3.56,5.5,7.73,7.84,6.63,7.73,1.74,3.66,6.6,2.61
BU-043,9.11,7.26,1.04,1.79,7.21,7.5,3.15,1.4,6.13,1.38
BU-044,7.46,5.74,9.64,2.27,6.62,6.52,3.2,5.78,8.56,4.0
BU-045,6.32,5.59,9.86,8.15,1.32,4.38,4.85,8.0,8.12,3.15
BU-046,4.3,4.74,5.27,6.59,2.46,8.42,3.42,9.99,1.05,9.47
BU-047,8.86,8.66,4.65,6.96,3.33,5.56,8.29,1.33,2.21,7.55
BU-048,5.23,1.36,1.55,2.42,3.45,7.22,8.23,6.11,5.78,6.98
BU-049,3.9,8.1,7.28,7.75,5.86,8.83,4.74,6.75,7.25,7.66
BU-050,5.83,8.67,4.27,4.34,2.47,3.23,2.46,9.21,7.39,4.11
BU-051,1.26,3.66,4.02,6.27,1.39,2.46,7.03,3.44,5.73,8.33
BU-052,5.53,1.88,1.54,9.14,8.47,9.15,4.47,6.48,2.88,5.78
BU-053,2.08,8.1,8.24,3.6,6.66,7.78,6.45,8.18,3.46,3.71
BU-054,7.43,8.13,8.93,2.57,8.83,8.96,3.34,9.38,7.38,4.77
BU-055,2.27,6.55,1.59,3.77,7.71,6.61,8.48,1.67,6.36,7.43
BU-056,6.31,7.43,7.77,3.32,8.94,4.66,1.47,2.34,4.27,2.39
BU-057,4.72,6.9,7.5,5.35,6.09,3.01,3.38,8.75,3.16,4.0
BU-058,4.12,3.65,7.16,4.64,2.51,5.58,9.3,8.4,9.95,5.37
BU-059,2.97,6.32,1.75,8.38,8.95,2.05,2.78,2.17,8.95,6.88
BU-060,2.63,9.41,1.67,9.2,5.96,4.24,7.18,1.36,4.08,6.54
BU-061,1.18,4.87,4.23,2.44,6.8,9.47,9.03,3.39,2.17,9.41
BU-062,7.79,5.38,6.06,8.34,6.7,4.08,1.81,5.91,4.37,7.38
BU-063,1.65,9.03,9.07,9.76,5.48,7.18,1.47,5.87,5.69,3.47
BU-064,9.83,9.02,6.5,4.09,9.15,9.61,5.55,6.49,5.01,6.09
BU-065,6.38,2.96,6.45,3.84,5.36,5.92,3.64,4.67,7.72,5.29
BU-066,5.24,6.42,9.91,3.51,3.35,5.52,1.24,7.8,5.09,8.75
BU-067,4.29,5.05,3.62,1.2,7.22,3.6,1.32,4.41,4.01,8.03
BU-068,7.42,9.0,6.74,2.8,7.17,4.32,3.95,9.28,4.45,5.97
