id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,6.63,9.96,5.64,4.87,3.23,5.86,6.77,9.85,2.37,9.68
BU-002,2.56,9.17,5.99,4.77,9.47,4.07,3.02,8.61,4.22,4.81
BU-003,7.79,2.94,8.0,4.39,7.42,9.2,1.78,5.61,6.63,4.04
BU-004,2.33,4.7,4.11,7.88,1.16,2.62,2.07,9.72,9.8,5.2
BU-005,4.31,9.13,2.22,2.77,8.46,3.13,7.9,6.84,8.45,6.65
BU-006,6.18,6.24,6.64,7.64,1.15,2.95,2.04,9.52,1.52,3.96
BU-007,5.65,9.54,8.32,3.5,6.64,8.07,2.02,8.15,5.62,4.94
BU-008,1.42,1.05,5.44,5.04,5.68,3.2,6.04,3.01,8.85,3.89
BU-009,7.4,2.61,9.72,4.99,8.17,3.73,8.47,3.49,3.27,9.97
BU-010,3.79,8.56,2.11,2.55,7.8,8.95,8.74,3.74,1.21,3.0
BU-011,5.18,9.31,4.63,9.24,1.71,9.2,7.5,2.9,8.28,9.82
BU-012,8.71,4.44,2.52,6.39,9.67,1.91,2.77,5.7,1.25,9.33
BU-013,2.63,7.52,9.24,5.57,2.99,9.26,8.95,2.97,9.01,8.5
BU-014,7.35,7.15,1.71,8.15,4.5,2.0,8.02,9.67,3.18,6.88
BU-015,9.72,5.76,2.57,5.85,5.46,9.17,8.47,2.77,2.42,4.92
BU-016,2.99,1.1,2.22,6.57,6.17,9.94,4.51,3.04,9.59,5.9
BU-017,9.53,4.76,2.75,4.58,2.55,5.99,3.2,7.79,5.9,4.52
BU-018,3.64,9.59,3.94,3.33,2.02,7.9,7.44,9.3,1.55,7.6
BU-019,6.69,6.16,8.16,2.29,3.96,7.77,1.38,2.54,9.95,2.05
BU-020,1.7,7.84,5.56,6.21,4.63,2.44,2.63,5.62,8.78,3.1
BU-021,8.61,9.91,9.96,1.52,6.33,5.81,5.91,1.06,1.55,6.57
BU-022,8.54,2.98,1.04,6.92,9.18,1.13,1.35,7.93,6.27,7.78
BU-023,4.76,3.1,8.92,4.83,6.85,3.43,2.49,8.29,8.74,7.39
BU-024,3.02,1.78,9.82,2.05,2.72,9.84,9.91,8.51,6.02,3.23
BU-025,7.12,7.21,2.18,1.74,7.94,7.32,2.82,2.13,1.68,1.63
BU-026,6.85,3.66,4.02,4.42,4.07,2.35,5.88,6.28,5.01,6.12
BU-027,3.57,5.49,9.76,7.29,7.01,5.15,3.17,9.36,8.98,7.16
BU-028,8.04,6.41,9.05,4.44,1.27,7.61,1.47,8.83,5.92,3.74
BU-029,1.52,9.34,9.07,5.51,5.84,3.5,5.46,8.33,6.05,6.38
BU-030,4.76,3.15,2.14,5.61,7.97,2.44,8.91,7.89,1.3,4.69
BU-031,8.38,4.67,9.93,8.81,1.6,3.76,7.65,7.68,8.63,8.8
BU-032,9.18,8.61,2.85,6.26,4.05,2.05,2.68,5.18,3.2,8.42
BU-033,3.4,2.44,4.2,6.69,7.91,6.79,5.31,1.04,9.47,1.45
BU-034,6.91,9.06,3.52,6.5,6.2,5.81,6.26,9.32,4.45,9.53
BU-035,4.89,8.33,7.51,3.06,1.79,9.8,2.58,6.45,4.73,5.0
BU-036,6.37,3.76,6.82,2.81,4.24,3.48,4.24,1.83,7.25,5.36
BU-037,1.57,5.72,7.42,4.72,3.0,5.06,1.71,9.0,1.62,4.1
BU-038,3.93,8.52,1.35,7.31,3.26,2.17,6.33,7.28,7.08,3.26
BU-039,6.86,5.48,2.02,7.22,6.75,1.7,7.72,6.03,8.52,9.97
BU-040,9.78,9.09,1.51,6.85,9.59,7.39,3.2,9.98,9.33,9.0
BU-041,3.04,3.48,9.62,2.91,7.55,2.66,4.27,7.14,9.49,5.05
BU-042,6.58,5.79,1.42,7.47,7.65,3.29,9.53,8.98,6.38,5.42
BU-043,2.44,4.79,9.23,7.65,6.76,5.79,4.86,2.16,2.26,3.54
BU-044,2.15,6.81,6.42,1.78,5.67,8.68,6.98,3.26,2.2,5.38
BU-045,2.74,3.2,7.09,5.0,6.45,4.69,5.32,3.45,9.98,4.78
BU-046,5.11,8.45,4.6,1.77,5.71,7.25,4.89,1.41,1.5,9.25
BU-047,8.13,4.56,1.49,5.03,6.78,7.25,3.92,4.87,6.91,6.72
BU-048,8.63,4.59,4.33,6.6,8.89,4.48,2.38,4.48,1.92,6.42
BU-049,9.39,8.38,2.81,5.69,3.53,8.92,8.54,8.29,8.04,6.46
BU-050,1.34,4.29,8.15,1.68,2.04,8.66,7.61,8.02,9.55,5.92
BU-051,6.16,9.6,1.87,1.2,9.2,2.36,5.25,4.94,1.64,2.85
BU-052,1.2,6.06,4.49,7.68,1.15,6.38,6.93,8.17,5.33,1.3
BU-053,5.93,9.92,7.05,7.08,3.56,2.37,8.94,1.06,5.93,8.85
BU-054,5.98,9.17,4.67,3.91,7.77,1.43,8.44,6.3,6.62,3.52
BU-055,4.92,8.93,8.59,5.68,7.31,4.64,4.89,3.83,2.94,8.51
BU-056,1.07,8.06,2.42,4.31,5.01,2.42,7.48,7.66,9.58,6.13
BU-057,2.15,8.06,3.63,8.9,2.67,9.91,9.7,6.52,4.53,3.33
BU-058,6.17,2.5,3.64,3.26,8.67,7.55,1.24,8.28,7.48,4.37
BU-059,7.66,2.99,1.26,8.37,5.69,6.23,2.54,2.15,7.17,5.31
BU-060,7.86,4.68,9.8,1.51,6.79,5.36,7.44,1.58,9.14,9.19
BU-061,2.4,6.95,8.78,7.82,2.82,1.44,9.35,7.46,4.35,2.8
BU-062,9.0,4.91,8.85,3.52,6.73,5.21,9.82,1.1,5.0,1.41
BU-063,5.58,9.83,8.66,3.0,1.49,6.88,4.56,2.11,3.04,1.64
BU-064,9.2,2.93,9.11,8.04,5.66,5.13,7.33,6.16,7.18,7.68
BU-065,5.33,6.72,2.04,8.97,5.9,6.28,8.98,5.3,3.96,8.59
BU-066,1.03,7.15,1.05,8.33,6.28,6.22,5.79,9.74,4.3,5.53
