id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,5.77,5.46,4.28,1.52,9.39,5.38,5.33,2.51,6.06,8.86
BU-002,2.68,5.68,7.82,3.75,3.29,9.44,9.78,1.87,9.41,9.29
BU-003,6.3,2.58,3.11,5.41,9.44,3.29,7.1,2.33,7.12,9.86
BU-004,2.36,2.48,5.33,7.93,4.46,5.32,8.17,7.33,1.63,1.32
BU-005,4.87,6.53,9.88,1.89,9.74,5.25,6.57,5.82,6.18,2.54
BU-006,4.48,2.96,3.77,6.72,7.79,4.25,5.2,5.64,5.79,5.71
BU-007,5.51,2.45,4.11,9.01,4.48,3.69,2.89,8.54,6.4,2.61
BU-008,1.73,1.51,8.59,9.32,1.57,5.28,8.02,4.54,1.26,6.35
BU-009,2.49,1.27,3.26,3.66,4.31,4.51,3.07,5.1,6.64,5.64
BU-010,3.59,6.38,9.25,5.19,2.55,5.47,9.54,2.47,9.13,2.39
BU-011,4.07,6.45,2.09,7.23,1.7,5.69,9.63,2.11,8.74,6.6
BU-012,7.26,2.5,1.44,9.04,8.53,4.12,1.35,7.96,4.24,4.91
BU-013,6.38,2.13,6.41,7.48,9.24,6.42,3.22,5.34,8.73,9.23
BU-014,2.74,9.24,1.79,7.66,2.43,4.55,6.18,3.7,2.28,1.01
BU-015,9.16,7.44,4.38,3.1,8.84,7.64,1.27,3.53,8.4,5.54
BU-016,8.41,4.69,4.28,1.07,2.53,2.4,8.87,9.32,4.94,6.85
BU-017,6.0,2.16,6.83,7.79,3.29,7.16,6.75,8.92,7.98,1.79
BU-018,7.69,6.41,7.11,2.27,3.06,9.94,3.71,9.37,7.76,8.69
BU-019,3.49,9.79,9.97,9.46,9.45,4.86,9.29,4.76,4.98,2.48
BU-020,4.62,6.58,6.83,4.59,2.29,6.2,9.31,8.06,5.15,2.95
BU-021,1.15,5.29,2.12,5.85,1.26,9.03,8.61,2.86,2.36,4.51
BU-022,4.23,6.31,9.07,3.79,4.72,9.78,5.8,5.5,6.35,4.58
BU-023,7.21,2.59,5.14,7.56,4.47,9.8,2.44,8.29,3.92,6.7
BU-024,7.93,3.55,1.09,7.87,5.73,6.36,2.18,8.62,6.48,7.78
BU-025,7.91,2.1,1.78,7.92,3.54,1.18,4.11,7.95,7.24,6.98
BU-026,6.53,2.83,1.41,2.53,8.1,4.48,1.6,8.02,7.04,2.64
BU-027,5.8,2.04,5.13,2.3,2.14,5.63,8.92,3.43,2.19,6.8
BU-028,7.98,1.43,5.2,4.08,8.35,7.7,9.27,6.03,5.73,8.46
BU-029,6.2,9.08,8.67,4.89,3.56,9.3,2.0,8.44,5.52,9.62
BU-030,3.84,3.06,2.34,4.18,7.83,2.1,6.48,4.07,4.05,9.47
BU-031,5.39,4.28,6.75,4.98,6.56,9.67,5.98,3.64,8.06,1.93
BU-032,2.38,8.21,4.13,5.08,1.63,6.82,8.66,4.42,4.33,8.07
BU-033,7.51,7.51,9.46,3.63,1.7,4.58,1.72,3.12,1.15,8.91
BU-034,4.73,9.59,1.44,3.49,4.4,6.93,9.87,5.75,9.15,9.54
BU-035,2.66,8.71,2.41,6.99,6.65,2.96,4.54,2.75,8.89,9.76
BU-036,9.77,1.15,8.64,5.7,4.12,1.17,9.8,8.77,3.2,6.33
BU-037,3.46,4.29,3.84,9.67,2.22,8.48,4.82,2.79,7.85,7.88
