id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,2.5,4.83,7.13,9.17,5.08,2.52,7.07,6.73,6.34,7.69
BU-002,5.6,9.06,7.84,3.53,5.45,2.96,9.46,7.39,5.01,1.42
BU-003,6.54,6.66,3.98,8.84,7.36,8.4,4.11,6.65,7.01,2.45
BU-004,2.76,4.69,8.33,9.71,7.16,8.89,6.08,4.32,8.91,2.5
BU-005,4.31,9.34,8.5,5.43,5.83,1.31,7.21,8.57,7.41,6.75
BU-006,8.22,3.18,9.04,6.81,3.5,6.94,7.04,4.11,8.55,8.74
BU-007,9.37,5.22,2.45,8.48,5.36,6.43,9.87,3.14,6.37,8.6
BU-008,8.26,5.99,8.72,3.76,5.35,8.07,4.5,2.52,2.56,8.68
BU-009,3.32,6.52,4.47,3.79,8.4,9.59,7.27,9.44,2.11,4.92
BU-010,9.76,1.68,7.02,1.88,5.85,9.72,3.15,6.42,3.06,7.02
BU-011,3.84,5.65,8.68,1.21,9.81,1.43,9.23,2.57,2.91,6.8
BU-012,4.67,8.14,7.09,6.82,6.06,4.05,4.82,2.32,1.41,3.12
BU-013,9.86,7.05,6.52,4.26,5.99,6.82,2.13,9.08,6.13,1.09
BU-014,2.97,4.95,8.23,3.76,9.94,1.19,2.45,2.54,1.19,3.09
BU-015,6.14,2.86,4.89,5.63,5.2,9.9,1.36,6.18,2.3,3.5
BU-016,5.7,1.73,4.93,9.98,4.16,3.3,5.6,8.67,7.45,5.04
BU-017,1.85,5.67,2.37,9.12,9.4,3.57,9.61,3.75,7.85,3.41
BU-018,4.94,3.72,7.74,1.28,7.31,2.59,6.85,7.14,7.94,5.22
BU-019,1.35,4.11,2.89,9.27,9.14,6.59,8.02,2.92,2.63,3.21
BU-020,1.02,8.17,3.68,5.51,2.46,9.64,4.51,4.58,6.22,4.45
BU-021,7.5,8.45,1.14,9.3,9.85,5.35,2.48,7.39,4.25,5.62
BU-022,5.69,8.54,2.03,3.82,5.33,4.63,3.06,9.84,7.33,9.09
BU-023,6.22,3.14,6.7,7.5,6.74,7.75,1.25,9.28,1.27,3.35
BU-024,3.56,7.04,4.04,4.98,6.67,8.98,1.85,7.36,2.33,6.94
BU-025,3.39,4.9,2.21,4.95,8.42,6.35,10.0,1.2,4.44,3.5
BU-026,1.63,6.82,9.74,8.08,8.7,9.71,6.57,9.75,6.83,2.87
BU-027,5.92,5.3,5.67,9.84,8.35,2.36,1.54,8.52,7.27,8.84
BU-028,5.09,4.68,1.07,6.04,2.44,5.76,5.99,3.67,4.18,6.09
BU-029,7.38,8.0,9.81,4.94,5.12,1.78,4.17,5.25,8.37,1.66
BU-030,2.38,1.4,5.11,2.7,8.93,7.25,9.61,8.21,4.52,1.23
BU-031,4.76,4.01,5.78,5.13,5.15,4.02,7.97,6.77,4.57,3.13
BU-032,8.6,2.42,9.94,9.96,4.11,2.26,3.31,5.71,6.29,6.76
BU-033,5.05,3.44,7.43,4.88,3.76,9.06,1.27,6.85,9.06,5.48
BU-034,3.74,6.44,3.36,6.74,3.12,6.01,1.03,9.31,7.79,4.05
BU-035,8.43,3.16,9.82,2.17,2.19,6.69,5.6,4.04,4.54,9.64
BU-036,1.47,5.78,3.14,5.96,7.81,7.74,1.15,5.05,3.51,3.11
BU-037,2.17,2.2,1.77,9.34,6.71,1.55,8.79,6.32,8.25,1.19
BU-038,4.46,3.58,2.85,6.19,7.79,8.79,6.51,3.89,6.97,8.16
BU-039,2.49,9.25,5.48,5.16,6.73,8.06,4.37,2.26,6.31,5.65
BU-040,1.89,7.27,7.37,3.31,3.59,8.06,6.91,8.62,5.81,7.5
BU-041,3.35,6.93,1.63,5.42,9.42,3.5,1.21,3.17,8.34,5.93
BU-042,7.33,1.48,2.13,3.11,4.66,7.7,9.82,7.43,1.47,9.16
BU-043,4.91,4.65,6.61,6.22,6.93,5.9,1.52,5.93,9.02,2.96
