id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,4.43,4.11,4.25,2.77,1.56,3.93,6.6,2.29,5.51,9.31
BU-002,1.5,5.77,6.8,4.12,6.34,4.29,9.58,1.9,1.48,7.07
BU-003,3.17,6.28,4.78,6.1,9.43,8.62,2.21,1.85,1.84,8.86
BU-004,1.54,8.09,1.91,9.77,6.52,4.17,6.1,7.79,7.56,3.89
BU-005,8.76,6.74,9.54,3.2,7.56,2.7,3.31,9.48,7.26,3.05
BU-006,1.16,3.41,4.17,9.64,8.03,6.01,1.5,5.97,4.86,4.72
BU-007,3.6,3.12,8.77,8.47,8.26,5.14,5.92,4.89,4.84,8.5
BU-008,9.18,8.99,7.68,2.67,7.67,8.33,1.58,1.0,5.5,5.74
BU-009,2.03,8.64,3.51,9.29,7.16,1.38,9.63,4.38,7.63,4.2
BU-010,2.61,3.84,1.81,4.13,7.57,7.24,9.72,8.5,2.83,6.91
BU-011,4.23,7.34,6.93,6.49,1.31,2.89,3.08,2.67,1.18,1.74
BU-012,5.02,6.89,6.99,1.3,3.54,9.28,5.74,5.45,7.49,5.67
BU-013,1.29,4.91,7.06,3.74,4.4,1.06,3.69,5.8,3.14,7.37
BU-014,3.6,1.76,7.57,7.69,6.33,1.6,6.19,1.76,2.64,2.26
BU-015,7.78,5.74,2.03,2.76,7.37,8.33,3.92,8.5,7.34,7.64
BU-016,7.49,8.57,7.33,1.14,4.69,8.08,2.21,3.21,8.79,4.57
BU-017,9.93,9.58,1.14,3.62,3.8,7.24,2.63,4.13,5.17,8.16
BU-018,9.52,4.7,2.63,4.13,8.29,5.22,4.96,9.16,5.99,9.7
BU-019,8.61,8.95,3.43,8.74,7.21,9.2,8.01,3.37,1.04,5.51
BU-020,5.47,8.56,3.95,2.35,2.67,7.26,3.05,1.9,4.0,7.33
BU-021,9.59,6.98,7.12,1.27,7.5,4.69,8.29,5.32,2.31,7.25
BU-022,9.09,4.26,2.28,8.67,1.48,1.25,3.93,2.54,2.14,5.1
BU-023,5.65,5.74,5.72,6.47,6.58,1.3,3.85,5.88,1.05,7.9
BU-024,7.15,5.14,3.85,8.66,3.39,4.39,3.11,3.97,4.67,9.44
BU-025,4.31,8.25,3.9,3.43,6.54,8.56,6.92,1.98,8.31,2.53
BU-026,1.52,4.28,2.94,7.05,7.18,7.21,5.58,7.91,7.45,7.25
BU-027,4.83,8.56,5.45,4.68,3.32,1.32,6.68,5.41,5.1,5.3
BU-028,7.22,4.98,6.46,7.33,8.79,7.93,5.98,7.72,2.65,6.06
BU-029,8.01,4.26,2.29,8.2,2.6,5.69,2.76,5.85,7.21,6.92
BU-030,5.22,8.58,6.01,3.82,5.24,7.01,5.8,1.16,4.51,6.92
BU-031,3.62,2.82,5.07,8.22,5.64,1.53,3.81,6.0,5.9,5.33
BU-032,7.15,5.66,7.67,9.69,6.49,3.97,2.78,7.65,3.64,8.09
BU-033,5.22,4.67,8.84,5.49,4.6,2.13,7.07,3.05,9.95,7.4
BU-034,4.05,9.31,9.03,2.56,6.39,9.87,6.17,6.37,4.95,6.67
BU-035,1.64,2.69,8.87,7.71,4.31,7.9,2.89,5.28,8.04,3.63
BU-036,9.57,9.94,3.6,7.69,4.96,2.43,7.26,4.87,8.45,3.59
BU-037,7.48,7.86,2.98,3.37,1.4,1.52,7.97,9.7,6.36,1.28
BU-038,8.02,3.03,8.42,6.33,8.35,5.07,2.07,6.96,5.31,7.83
BU-039,7.49,5.79,8.1,2.5,9.08,2.05,8.04,4.47,5.25,2.33
