id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,7.05,5.39,8.43,1.28,8.27,6.09,3.68,1.42,9.92,1.06
BU-002,7.93,7.72,4.4,5.45,9.36,4.56,9.77,5.72,1.84,8.32
BU-003,2.91,5.99,3.63,8.35,8.45,2.99,6.8,1.86,4.7,1.87
BU-004,2.3,2.91,5.29,1.7,3.12,1.06,9.09,5.97,2.51,9.36
BU-005,5.88,1.38,5.72,6.76,8.21,8.51,3.27,9.71,5.2,3.38
BU-006,5.94,4.4,2.83,9.24,9.45,8.54,4.9,7.45,8.66,1.71
BU-007,4.69,6.77,9.79,7.35,6.73,2.85,3.64,2.44,3.74,7.47
BU-008,9.62,1.14,3.81,1.44,8.87,7.24,8.44,9.27,2.38,5.23
BU-009,5.92,5.65,7.48,8.4,3.12,1.95,6.52,3.19,8.44,5.19
BU-010,7.22,4.19,1.93,3.69,2.47,3.1,5.9,4.19,7.7,6.83
BU-011,7.93,8.11,5.74,3.31,9.96,1.96,4.73,2.39,5.56,8.26
BU-012,5.27,4.91,3.99,1.69,7.52,7.76,6.54,9.12,2.2,2.81
BU-013,8.63,6.95,5.65,7.95,7.99,5.99,7.21,3.24,7.33,4.6
BU-014,6.56,6.41,6.5,7.33,1.69,2.91,3.69,9.69,6.92,2.57
BU-015,7.14,8.57,9.1,2.87,9.53,3.09,2.38,6.68,1.33,8.16
BU-016,2.29,1.78,8.37,9.67,7.85,8.38,9.43,4.72,3.87,7.37
BU-017,6.65,7.17,7.42,7.44,3.0,1.75,5.5,9.46,7.61,2.48
BU-018,1.6,6.25,6.25,7.07,3.18,5.04,7.29,2.43,2.69,4.95
BU-019,3.25,9.28,2.71,4.6,8.36,1.35,7.01,1.13,9.35,2.03
BU-020,2.37,6.48,8.63,4.93,5.19,8.53,5.59,5.15,3.64,4.26
BU-021,3.95,6.12,8.04,7.5,7.11,9.36,8.8,9.32,1.38,4.54
BU-022,6.25,5.16,7.11,9.89,2.38,4.0,9.58,4.84,4.75,8.84
BU-023,1.38,2.08,2.14,9.91,1.8,4.62,9.02,4.46,1.21,4.77
BU-024,1.75,6.32,5.21,4.21,8.64,9.19,5.46,5.03,9.26,8.91
BU-025,8.62,6.8,5.79,9.68,3.63,3.75,1.91,4.63,5.67,1.94
BU-026,4.01,4.8,9.9,9.79,2.04,4.7,8.07,6.53,7.35,8.72
BU-027,4.21,7.3,6.76,1.59,6.98,1.46,3.07,1.99,3.09,9.56
BU-028,8.75,3.64,9.58,2.09,2.62,5.09,1.49,4.7,6.13,8.01
BU-029,7.88,9.99,5.76,8.48,7.51,7.92,3.64,6.1,8.27,5.91
BU-030,8.7,5.54,3.27,2.0,3.32,6.56,5.14,7.67,4.39,7.93
BU-031,3.89,9.79,3.69,8.77,4.87,3.2,9.62,4.52,7.48,2.49
BU-032,9.68,2.25,8.88,1.13,3.85,5.28,7.45,7.28,3.49,1.67
BU-033,1.87,1.0,7.88,2.22,8.33,3.49,2.58,5.18,7.64,8.62
BU-034,5.69,3.61,4.82,9.59,8.21,4.44,7.26,4.83,8.01,3.57
BU-035,4.73,6.58,2.39,7.56,7.0,9.88,7.5,6.62,6.29,6.86
BU-036,9.63,1.99,8.99,3.9,1.04,3.11,5.73,5.98,5.93,6.32
BU-037,1.29,9.99,4.84,2.44,3.01,7.5,4.0,6.06,9.58,5.19
BU-038,6.04,3.79,7.55,7.49,4.54,4.39,7.07,7.07,8.63,9.73
BU-039,3.67,4.06,4.26,6.16,3.59,6.36,5.78,2.74,7.99,7.9
BU-040,1.83,6.31,6.74,1.9,2.97,7.58,3.08,2.72,1.89,5.75
BU-041,9.95,5.34,8.16,8.48,5.66,2.46,2.32,7.59,8.06,4.79
BU-042,5.89,5.15,4.78,8.44,4.57,7.09,1.53,2.12,3.08,6.43
BU-043,4.69,7.52,3.14,9.72,6.4,9.06,2.14,3.22,5.3,6.27
BU-044,6.97,1.14,8.41,7.78,9.85,3.3,7.12,7.18,5.53,2.15
BU-045,3.34,9.98,9.52,7.72,7.17,9.01,3.38,2.31,2.2,5.39
BU-046,9.6,5.38,8.16,8.32,3.8,4.58,2.07,7.25,9.8,3.63
BU-047,7.72,6.06,2.37,8.6,3.0,3.55,4.9,5.82,8.58,5.04
BU-048,5.3,2.01,9.2,3.81,4.78,7.93,3.79,2.84,5.96,5.95
BU-049,1.97,8.78,1.8,9.39,9.49,9.22,8.71,7.72,8.18,3.85
BU-050,1.94,4.46,2.21,8.32,1.43,9.98,4.97,9.91,7.0,9.57
BU-051,6.1,7.0,8.98,3.38,2.46,9.38,5.49,1.36,3.57,3.61
BU-052,2.13,9.49,2.78,5.79,1.46,7.04,9.44,5.78,6.77,8.59
BU-053,7.51,2.8,1.36,9.81,6.04,7.99,4.8,4.45,2.67,8.7
BU-054,8.46,1.95,5.27,6.62,9.31,3.94,5.81,4.67,2.85,5.03
BU-055,1.59,8.95,8.39,4.48,4.83,5.57,8.07,9.87,2.49,8.88
BU-056,3.15,8.95,2.58,5.99,7.43,7.46,5.92,9.96,6.72,8.32
BU-057,3.0,1.89,7.26,5.95,2.73,2.51,9.39,1.26,4.28,1.06
BU-058,3.57,8.5,3.42,3.67,4.39,7.41,2.97,5.11,1.25,4.71
BU-059,1.53,3.92,1.91,9.77,1.14,6.43,1.71,4.39,8.13,3.43
BU-060,8.62,5.17,2.32,3.11,5.06,8.84,2.22,2.76,5.61,8.25
BU-061,8.07,7.03,2.49,6.75,8.21,6.3,6.45,9.03,1.39,1.95
BU-062,8.49,3.87,6.24,4.26,4.12,7.56,3.46,5.63,8.24,9.83
BU-063,1.39,5.17,6.08,2.68,6.41,7.07,8.8,8.98,7.93,4.84
BU-064,6.65,6.02,1.32,1.98,8.87,4.58,4.99,6.02,3.13,7.2
BU-065,6.06,1.45,7.51,5.9,5.8,9.94,2.86,3.91,7.12,3.36
BU-066,9.68,8.35,3.66,9.61,7.2,4.61,9.67,3.38,7.88,6.69
BU-067,7.99,5.24,5.66,1.13,7.91,1.69,4.35,4.28,9.24,2.79
BU-068,9.27,2.03,7.73,2.31,8.85,7.16,9.63,1.57,3.24,5.88
BU-069,2.95,2.43,8.62,7.3,3.46,4.5,8.02,6.34,4.87,8.12
BU-070,1.62,4.29,5.13,8.51,5.71,9.47,1.69,9.99,9.91,8.28
BU-071,8.88,8.79,2.36,9.36,7.08,6.37,9.9,3.29,9.94,9.96
BU-072,9.27,3.23,1.08,4.84,9.23,8.11,3.13,4.19,5.5,4.55
BU-073,9.26,4.81,3.5,5.16,6.47,5.78,8.75,3.79,9.72,7.91
BU-074,3.77,7.27,9.98,9.39,7.12,2.58,3.33,4.41,6.72,5.65
BU-075,4.54,3.78,2.35,7.71,3.36,1.91,3.27,1.95,8.2,3.27
BU-076,2.3,3.5,9.34,6.51,8.37,9.21,8.95,7.8,4.6,6.04
BU-077,4.01,3.62,5.72,2.56,8.73,5.58,9.06,2.01,2.45,5.05
BU-078,6.65,6.87,9.16,8.42,7.31,5.79,5.41,5.98,8.31,3.62
BU-079,8.96,4.37,3.69,8.54,7.16,7.69,8.54,4.89,5.58,5.81
BU-080,5.0,2.74,2.19,3.68,9.92,1.57,6.95,5.96,2.11,6.43
BU-081,2.85,6.8,7.67,9.46,6.48,8.93,2.32,8.8,2.45,3.46
BU-082,8.27,6.54,5.85,8.23,3.46,9.34,3.46,3.16,4.4,7.7
BU-083,4.71,7.62,9.0,9.95,8.76,8.68,4.8,3.5,8.82,9.83
BU-084,3.53,9.38,6.73,5.8,5.36,9.89,3.78,1.69,6.44,6.83
BU-085,5.84,7.7,1.41,9.4,6.02,1.44,9.94,1.29,8.11,5.09
BU-086,3.97,6.14,4.79,2.42,4.81,7.28,9.42,7.2,8.35,8.01
BU-087,1.04,9.79,8.36,3.9,8.22,3.65,2.22,2.96,1.71,5.2
BU-088,6.96,5.81,5.71,4.23,5.69,4.44,5.09,4.23,9.55,8.55
BU-089,2.71,5.84,9.47,6.26,3.36,6.78,3.45,8.48,8.28,6.84
BU-090,8.04,2.46,3.12,3.96,1.86,8.37,6.59,1.01,3.98,6.77
BU-091,7.13,7.39,9.27,2.08,4.45,2.84,8.44,1.34,2.54,5.38
BU-092,1.36,5.52,9.87,9.35,2.72,4.9,4.78,2.31,8.78,7.18
BU-093,9.48,8.34,5.19,3.82,5.69,7.02,4.47,3.41,8.96,6.57
BU-094,6.64,6.22,8.73,7.31,6.06,5.97,9.92,5.24,5.82,7.42
BU-095,9.99,5.92,7.73,2.58,8.66,4.32,6.93,5.17,7.7,1.58
BU-096,2.91,6.06,8.07,7.0,5.45,4.72,2.32,8.59,2.09,9.5
BU-097,3.81,8.92,5.62,1.03,6.62,1.04,2.81,7.32,1.0,8.84
BU-098,2.95,7.56,4.25,8.96,5.85,3.62,8.83,3.86,2.19,8.75
BU-099,8.15,7.04,8.31,7.11,9.09,2.22,7.34,7.22,7.13,3.13
BU-100,5.04,7.19,7.49,6.27,2.46,9.86,3.27,8.11,8.2,5.16
