id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,2.16,4.71,2.16,3.83,5.38,6.17,7.32,3.25,9.7,2.97
BU-002,3.89,8.15,7.73,8.44,4.62,4.36,1.45,3.5,6.01,3.4
BU-003,7.53,8.06,8.11,8.33,2.03,4.61,6.52,8.41,8.9,1.85
BU-004,8.25,1.92,2.35,5.17,4.1,8.1,6.07,9.95,3.85,5.95
BU-005,6.22,5.79,9.95,8.99,6.85,6.91,5.34,7.63,9.73,5.43
BU-006,4.09,6.3,7.15,6.44,6.69,4.57,2.58,1.8,6.84,1.92
BU-007,2.14,6.72,6.53,4.89,4.48,1.88,4.44,1.1,5.67,6.59
BU-008,3.84,4.24,6.07,7.4,4.95,4.75,9.72,7.07,1.43,8.57
BU-009,4.89,7.83,7.6,3.05,9.05,3.35,8.24,6.49,6.6,9.7
BU-010,8.04,4.72,1.28,2.43,5.47,7.74,2.22,1.2,8.52,9.97
BU-011,3.49,6.07,6.83,6.65,7.65,3.33,6.63,9.36,7.96,5.53
BU-012,1.38,7.68,4.1,3.11,2.71,5.4,1.67,6.65,2.38,4.44
BU-013,9.54,1.7,4.29,1.63,3.98,9.64,6.21,5.29,9.53,8.72
BU-014,6.52,8.55,3.93,7.34,4.17,4.16,7.66,1.05,7.15,1.94
BU-015,3.96,8.95,7.03,9.56,9.26,4.18,4.35,6.26,3.26,5.63
BU-016,7.48,7.5,6.31,2.88,6.16,2.19,7.92,4.04,9.33,5.73
BU-017,9.1,6.58,7.0,9.09,4.45,3.13,7.1,1.73,3.83,5.59
BU-018,6.08,8.44,7.56,3.75,7.02,2.77,9.45,7.52,7.82,7.16
BU-019,3.72,4.05,8.44,1.29,4.36,8.45,8.42,2.24,2.68,3.32
BU-020,1.94,5.01,6.14,2.31,8.72,6.98,7.44,7.31,3.89,2.72
BU-021,5.49,8.26,3.23,7.5,1.04,5.15,9.2,2.23,8.61,5.02
BU-022,8.23,9.74,7.15,3.21,1.1,1.58,5.16,1.89,9.17,6.49
BU-023,5.86,8.95,2.47,2.02,8.4,6.58,5.12,4.87,7.19,4.62
BU-024,2.52,5.19,6.83,9.76,8.3,7.65,3.36,9.62,3.05,8.38
BU-025,7.13,3.98,5.15,9.54,3.08,7.04,9.37,6.65,9.23,3.72
BU-026,8.13,2.91,1.32,2.89,5.73,7.51,5.37,4.71,7.39,2.34
BU-027,7.49,9.04,4.84,2.2,1.22,8.16,8.27,8.79,5.22,5.11
BU-028,5.35,7.69,8.48,8.74,6.2,9.04,4.04,3.57,2.15,6.44
BU-029,5.7,5.37,5.45,3.56,2.59,1.59,1.37,5.04,7.54,8.19
BU-030,8.58,3.41,4.95,3.73,2.85,2.58,8.01,4.52,6.96,5.66
BU-031,4.0,2.61,3.76,3.26,7.3,7.96,3.97,5.87,8.8,1.74
BU-032,7.15,9.65,5.46,6.52,8.32,2.55,4.24,1.76,8.44,9.93
BU-033,3.21,1.03,2.06,9.15,9.52,8.36,4.28,4.19,7.96,5.57
BU-034,6.25,2.01,7.24,9.55,4.97,3.75,6.01,5.57,6.84,4.19
BU-035,1.67,9.42,6.77,2.99,6.7,3.8,6.62,8.98,1.44,3.94
BU-036,2.84,3.13,9.42,4.43,4.32,3.83,2.46,2.28,8.58,7.04
BU-037,8.89,4.7,1.15,8.43,4.49,5.48,2.62,3.11,1.48,6.83
BU-038,3.46,7.92,4.92,5.51,3.23,7.07,8.45,5.2,7.39,3.63
BU-039,5.93,9.79,1.27,9.14,7.85,2.4,5.53,6.22,4.86,5.33
BU-040,1.55,9.38,7.81,3.3,5.54,7.46,7.03,2.27,1.71,9.61
BU-041,1.42,8.18,7.23,7.21,5.64,6.46,3.92,3.91,4.38,2.71
BU-042,7.22,9.46,8.57,7.95,6.28,9.21,8.52,1.97,4.33,2.89
BU-043,6.09,4.21,8.42,4.86,4.42,7.68,7.81,1.59,2.96,7.5
BU-044,6.12,6.67,6.89,6.22,3.1,9.66,8.27,3.66,7.7,5.76
BU-045,9.59,3.2,2.38,7.21,5.29,5.53,4.5,8.75,7.58,4.59
BU-046,4.72,7.42,2.55,2.34,4.68,3.45,3.75,2.8,3.24,6.21
BU-047,5.72,2.15,5.24,4.24,4.28,8.1,5.64,2.29,3.43,4.57
BU-048,7.23,2.62,4.07,6.44,4.09,1.41,6.41,1.2,2.47,5.72
BU-049,3.58,7.65,7.39,5.9,8.14,7.98,7.76,1.27,6.68,9.71
BU-050,3.66,7.79,4.41,3.84,3.85,4.9,8.36,3.77,6.85,3.84
BU-051,1.95,5.76,3.48,9.5,3.07,5.63,8.25,8.95,3.05,6.73
BU-052,4.39,4.13,1.36,7.65,6.04,4.35,8.24,5.22,3.11,8.45
BU-053,1.85,8.66,5.98,4.01,7.11,9.08,7.15,6.09,3.93,7.77
BU-054,8.17,1.53,9.27,2.86,1.08,3.28,3.94,7.7,4.4,1.58
BU-055,6.33,8.02,6.94,5.17,4.36,9.0,3.63,1.29,6.76,8.89
BU-056,1.59,5.76,9.44,1.1,8.43,7.81,4.88,6.58,8.9,6.04
BU-057,3.51,7.04,8.99,5.69,7.66,5.68,9.09,8.94,3.19,3.43
BU-058,7.65,8.16,9.6,5.9,8.66,2.61,1.35,3.27,6.47,4.53
BU-059,6.8,2.69,4.27,1.33,9.54,3.07,5.88,5.83,3.74,1.77
BU-060,8.13,1.16,4.09,7.75,5.13,4.4,6.79,5.09,7.07,3.59
BU-061,6.99,5.23,6.76,6.89,2.48,8.1,6.05,4.29,8.75,7.16
BU-062,7.02,1.07,4.85,7.2,7.36,9.79,2.42,8.37,9.73,6.22
BU-063,4.95,2.03,5.98,1.61,4.52,7.38,7.81,6.38,3.07,5.81
BU-064,3.17,9.18,5.49,4.04,8.93,9.71,8.6,8.56,1.79,9.67
BU-065,9.97,6.48,1.61,5.74,4.32,8.67,6.75,9.3,7.48,4.23
BU-066,6.1,8.2,1.64,2.69,5.99,5.97,1.17,1.23,8.65,8.46
BU-067,4.64,1.02,3.34,9.31,7.23,5.32,5.29,2.06,2.38,5.02
BU-068,7.69,3.55,2.08,7.28,9.26,4.57,4.77,6.95,9.02,9.81
BU-069,3.53,9.59,6.76,3.75,8.24,3.69,1.35,3.53,9.2,2.58
BU-070,3.61,4.0,7.63,4.3,5.92,7.28,8.07,2.68,4.45,8.62
BU-071,9.59,2.84,1.44,1.8,9.36,5.59,5.33,9.56,5.23,8.53
BU-072,6.65,5.47,9.32,7.32,6.98,5.61,7.12,3.21,3.14,6.41
BU-073,4.74,1.53,1.92,3.48,6.3,5.38,1.08,5.11,1.83,8.68
BU-074,3.61,4.77,7.01,8.2,4.06,2.22,4.25,4.14,3.93,1.11
BU-075,6.9,3.52,9.28,9.21,5.65,3.01,4.37,4.87,7.93,7.38
BU-076,4.93,7.87,7.01,1.92,7.75,5.71,3.27,6.48,7.36,7.48
BU-077,9.93,5.44,6.27,6.32,9.3,1.94,6.27,5.07,1.26,6.6
BU-078,9.04,9.52,4.48,8.99,7.68,2.04,7.84,5.5,8.27,5.47
BU-079,3.92,5.93,4.36,5.53,9.31,4.62,9.66,9.16,7.54,9.06
BU-080,5.4,8.59,3.25,8.21,6.59,9.86,8.75,3.93,4.74,1.4
BU-081,1.38,7.62,3.69,7.1,1.29,3.04,5.17,1.97,5.75,5.74
BU-082,2.38,3.1,7.45,3.64,1.8,8.04,5.13,3.81,7.46,5.83
BU-083,7.15,7.71,8.4,4.58,2.9,9.92,6.5,8.54,5.92,6.44
BU-084,3.52,8.21,3.2,9.33,6.05,2.04,7.21,3.26,1.22,5.37
BU-085,5.31,4.62,7.89,1.65,1.33,1.9,2.18,7.14,8.06,3.32
BU-086,1.1,5.34,3.16,1.6,6.25,3.58,6.65,8.18,5.5,5.12
BU-087,9.4,5.23,3.88,9.25,3.75,9.4,1.9,4.13,1.19,1.8
BU-088,3.38,7.73,7.94,3.37,3.16,8.22,8.26,3.34,7.64,6.05
BU-089,4.52,6.3,4.26,4.2,6.37,5.92,5.5,4.83,1.7,2.15
BU-090,7.41,3.44,6.75,4.91,8.72,3.74,1.52,9.89,3.75,5.25
BU-091,2.79,7.56,2.79,1.08,9.8,3.61,4.6,5.95,4.39,8.4
BU-092,2.76,2.83,5.62,3.83,6.16,7.78,3.76,7.72,6.21,9.93
BU-093,7.58,5.82,1.94,2.49,1.86,4.07,6.66,6.96,5.4,9.67
BU-094,9.38,3.75,3.0,3.58,6.06,9.45,4.33,8.94,4.05,5.06
BU-095,5.34,9.38,3.36,8.04,2.84,5.22,7.06,8.96,4.88,7.82
BU-096,4.58,9.35,2.69,6.63,1.41,3.04,4.87,6.62,9.16,8.43
BU-097,5.0,8.59,1.04,7.06,8.25,4.27,1.65,5.06,6.34,6.17
BU-098,5.71,7.17,6.2,5.63,6.02,4.81,6.29,7.52,1.93,2.57
BU-099,9.67,7.82,7.92,3.1,6.47,8.82,5.74,8.95,2.49,5.89
BU-100,2.95,5.71,6.92,9.44,2.03,6.11,7.99,6.87,9.64,1.28
