id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,5.4,8.34,5.07,3.12,8.21,4.26,9.52,7.05,4.6,5.12
BU-002,6.78,8.49,7.88,8.54,5.78,3.68,7.91,4.22,4.7,6.16
BU-003,9.86,3.92,8.93,1.46,4.16,7.8,8.88,6.68,3.13,8.5
BU-004,2.53,3.94,7.55,2.56,9.82,8.32,4.25,6.25,9.36,9.92
BU-005,4.22,7.74,7.21,4.32,4.44,2.26,2.56,8.54,9.47,9.53
BU-006,6.86,7.66,8.28,5.25,5.48,7.06,4.32,1.12,7.97,8.32
BU-007,1.46,5.6,6.11,1.29,7.71,8.98,9.11,1.67,3.4,6.05
BU-008,1.24,4.11,7.05,6.56,5.24,3.84,5.46,1.08,6.97,5.19
BU-009,1.95,3.45,4.91,5.71,1.18,4.71,3.82,5.23,7.79,6.7
BU-010,7.73,4.26,8.14,2.25,4.47,5.82,8.65,7.7,7.96,5.94
BU-011,5.6,1.55,9.54,1.51,1.16,7.85,6.57,8.1,6.34,4.75
BU-012,4.91,3.83,4.02,5.8,2.67,3.58,3.23,6.49,3.57,3.03
BU-013,8.57,1.85,3.51,9.43,9.56,4.46,2.18,9.18,1.33,3.67
BU-014,4.85,4.73,9.9,6.15,1.87,5.33,1.99,2.28,6.97,9.15
BU-015,6.47,8.9,6.09,4.95,3.92,5.24,9.19,6.33,8.19,3.45
BU-016,8.16,9.47,3.17,2.21,1.39,1.79,3.16,1.54,9.53,8.45
BU-017,5.79,5.07,3.04,6.38,5.65,8.01,7.78,6.87,2.8,6.95
BU-018,9.09,7.1,7.36,5.76,7.57,1.99,6.93,1.77,4.44,7.25
BU-019,4.36,4.1,2.26,9.19,1.84,3.2,1.86,7.88,3.06,7.08
BU-020,5.68,7.53,6.36,5.74,2.4,6.96,3.67,7.27,8.21,3.14
BU-021,7.84,8.49,5.94,3.71,8.87,7.56,5.57,4.45,7.99,9.77
BU-022,8.24,9.01,1.08,3.19,1.84,3.1,7.7,6.1,9.47,1.79
BU-023,5.26,2.2,4.96,1.74,3.27,4.42,7.78,3.28,8.23,3.91
BU-024,9.17,7.0,3.75,2.29,4.59,8.25,1.91,2.92,6.59,2.57
BU-025,4.48,7.83,3.88,1.49,7.21,8.87,3.09,9.81,1.79,2.34
BU-026,7.76,4.46,3.3,6.87,3.23,7.1,1.85,7.05,5.67,5.87
BU-027,1.44,1.85,9.01,4.41,4.02,7.29,6.26,8.17,5.22,1.9
BU-028,5.28,7.36,8.78,6.39,3.66,2.15,5.13,6.6,8.01,5.79
BU-029,9.53,9.99,9.71,3.98,1.28,9.83,1.26,4.43,2.82,7.96
BU-030,6.46,9.39,4.25,1.31,6.6,6.46,5.76,7.49,5.42,4.33
BU-031,4.95,9.08,8.25,1.91,2.65,3.0,4.57,8.37,7.46,4.44
BU-032,5.34,6.1,8.1,3.92,4.45,4.65,7.17,2.58,3.13,8.19
BU-033,8.74,9.25,5.91,3.86,8.8,3.18,4.54,5.76,7.85,7.52
BU-034,6.92,8.72,5.95,2.43,3.67,5.69,4.44,1.84,2.74,6.0
BU-035,3.88,6.47,4.47,8.92,5.83,7.7,7.42,1.91,2.78,6.01
BU-036,3.59,7.8,9.68,6.02,1.34,3.17,4.15,8.61,9.77,2.65
BU-037,9.95,1.12,5.48,3.15,9.81,9.46,3.11,8.74,9.52,4.43
BU-038,4.4,8.12,6.75,5.56,4.3,6.23,8.78,1.23,2.82,4.63
BU-039,3.61,1.15,6.23,8.38,8.59,2.6,6.71,1.5,2.92,8.56
BU-040,5.64,2.55,1.76,1.55,8.0,5.77,1.89,3.58,5.14,6.89
BU-041,3.64,9.7,4.75,8.53,1.5,9.22,9.77,3.01,7.77,3.14
BU-042,2.85,8.86,7.33,5.81,6.09,7.96,3.88,1.74,9.67,4.0
BU-043,7.23,6.87,3.54,8.65,4.83,5.37,7.51,4.51,6.18,6.29
BU-044,5.57,9.64,8.72,4.07,9.47,1.22,9.58,4.27,1.34,4.95
BU-045,1.35,1.81,6.56,3.62,2.56,9.11,7.7,7.24,3.23,6.6
BU-046,1.4,6.75,1.95,9.0,6.84,6.88,2.58,7.3,8.41,5.35
BU-047,9.33,1.26,9.8,4.02,9.97,6.99,1.18,7.95,2.26,6.3
BU-048,6.33,5.28,9.14,6.9,9.35,3.03,5.66,6.16,9.18,4.13
BU-049,9.08,6.02,2.84,9.66,5.37,2.68,4.52,4.78,3.4,4.35
BU-050,6.91,9.32,3.47,7.7,9.94,5.95,9.46,8.26,7.68,7.86
BU-051,5.42,6.85,4.08,4.64,4.47,5.76,6.97,3.97,2.18,6.88
BU-052,1.06,4.83,1.81,6.82,9.36,3.67,8.66,4.0,6.72,5.39
BU-053,7.23,3.02,6.47,9.61,9.38,9.74,4.64,7.36,5.1,5.21
BU-054,5.05,8.52,1.7,1.59,6.16,8.72,8.28,5.35,2.69,4.72
BU-055,1.3,6.29,4.91,8.78,3.86,4.47,4.52,8.59,3.96,5.68
BU-056,2.1,7.52,3.14,5.78,6.23,4.34,7.66,3.2,2.06,4.25
BU-057,5.37,4.84,3.02,1.75,2.15,2.97,5.69,1.98,2.23,2.33
BU-058,4.24,8.5,1.18,5.58,2.8,7.66,6.62,2.66,9.76,5.02
BU-059,6.54,1.23,6.16,8.94,6.95,3.02,4.48,4.9,6.97,4.83
BU-060,6.84,9.34,7.71,6.44,1.65,7.56,9.84,1.06,2.84,8.94
BU-061,7.37,5.28,7.29,1.04,5.33,9.95,4.72,5.66,3.83,3.66
BU-062,9.5,9.46,8.7,9.07,1.82,9.31,6.55,5.63,8.15,2.45
BU-063,7.48,1.48,3.03,2.64,4.22,1.72,7.13,8.32,8.2,2.76
BU-064,8.09,7.85,1.5,8.37,9.04,4.84,2.86,9.83,8.96,6.9
BU-065,9.8,1.71,1.21,5.52,3.25,5.11,5.36,9.13,1.39,6.95
BU-066,7.73,5.68,3.48,6.29,8.32,5.14,2.0,9.57,8.17,3.49
BU-067,8.16,7.46,1.12,2.73,8.11,5.82,4.94,8.89,8.11,4.0
BU-068,6.4,5.23,9.56,7.9,5.83,9.54,9.99,3.08,3.31,8.81
BU-069,3.33,1.87,4.59,3.48,7.65,3.11,4.57,4.29,4.64,4.2
BU-070,7.65,5.54,5.45,4.34,9.42,6.97,2.06,2.82,5.81,7.33
BU-071,7.27,6.63,3.08,8.84,5.42,4.08,8.88,2.72,2.06,7.11
BU-072,7.1,7.4,2.91,6.03,4.5,3.44,3.76,7.18,4.6,5.06
BU-073,8.91,3.16,9.19,3.03,9.24,4.47,5.24,5.52,3.23,6.92
BU-074,5.44,4.79,4.68,2.62,2.72,4.86,4.54,5.31,6.35,5.78
BU-075,5.33,2.2,6.81,3.99,1.62,1.99,6.08,4.16,5.87,5.49
BU-076,3.27,1.53,4.99,2.36,1.87,6.09,7.15,6.41,4.83,6.67
BU-077,9.82,4.48,1.19,9.2,6.39,1.78,1.81,9.02,5.28,5.55
BU-078,7.29,9.61,3.49,1.57,1.79,6.35,7.01,3.6,1.21,1.81
BU-079,2.43,4.96,2.42,7.9,7.18,2.16,6.23,2.06,5.5,1.76
BU-080,9.24,2.96,8.83,9.98,9.02,4.15,5.8,6.31,2.96,6.68
BU-081,9.29,3.85,7.63,1.17,3.52,9.0,7.26,5.17,2.9,3.46
BU-082,4.67,1.96,9.7,2.36,8.83,2.83,8.74,9.84,9.89,2.78
BU-083,3.27,3.22,9.68,7.34,4.88,3.52,2.33,5.23,8.67,1.47
BU-084,2.95,8.55,7.61,5.02,5.16,9.28,4.5,4.45,2.94,7.97
BU-085,1.53,3.46,4.23,6.05,5.8,3.64,8.38,9.97,2.29,6.4
BU-086,1.95,3.1,5.44,1.54,6.71,5.87,8.45,3.38,1.84,7.63
BU-087,9.78,7.82,6.4,1.41,5.61,9.6,3.01,6.16,5.61,5.16
BU-088,2.47,4.79,1.6,1.22,2.0,4.06,2.52,2.53,5.59,4.64
BU-089,3.49,5.82,7.21,4.8,7.83,9.03,7.03,8.98,2.11,3.14
BU-090,2.9,9.09,8.46,8.32,9.07,5.41,7.95,1.61,9.35,5.51
BU-091,3.5,2.1,2.73,2.61,6.39,8.18,6.82,8.97,8.79,3.95
BU-092,5.69,1.29,1.19,7.26,9.11,4.85,7.65,2.07,1.08,7.0
BU-093,8.19,5.25,1.19,3.92,8.29,1.55,8.16,1.49,7.73,5.34
BU-094,6.36,5.59,7.46,4.4,8.05,9.26,6.04,1.8,6.49,6.49
BU-095,5.84,1.42,8.43,6.47,1.02,3.12,7.28,3.79,7.58,3.69
BU-096,6.56,2.34,6.7,4.45,6.88,5.41,7.31,9.62,4.71,8.48
BU-097,4.21,2.8,8.22,3.14,5.86,6.67,8.56,1.04,2.18,4.56
BU-098,4.88,1.7,7.75,6.52,4.77,5.16,1.14,4.43,4.2,7.41
BU-099,7.28,6.52,7.65,5.21,5.95,2.92,9.07,4.01,2.86,6.56
BU-100,9.62,5.54,7.76,2.27,4.29,6.95,5.35,5.82,3.77,5.78
