id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,1.52,8.78,2.3,9.32,6.72,2.72,9.62,4.21,1.48,1.21
BU-002,4.19,3.23,3.52,5.78,3.88,7.08,9.09,2.43,1.19,6.63
BU-003,6.93,7.94,3.88,9.5,2.8,1.79,4.73,7.74,1.97,2.33
BU-004,6.51,8.54,8.21,4.01,6.53,7.53,8.4,9.67,4.31,1.17
BU-005,6.48,8.9,1.2,6.02,5.19,4.78,3.41,8.17,2.4,7.79
BU-006,3.73,6.14,1.97,4.17,8.86,5.89,6.93,6.52,3.1,6.68
BU-007,7.05,5.18,3.68,8.49,4.56,9.34,5.52,2.44,1.31,7.66
BU-008,5.06,5.5,2.71,4.59,5.11,7.42,4.92,6.29,6.35,4.16
BU-009,6.13,4.16,1.08,7.71,2.85,7.29,6.53,2.33,7.74,3.64
BU-010,5.93,9.75,6.18,3.5,7.13,6.39,5.03,4.35,7.51,7.39
BU-011,9.22,9.15,9.88,9.52,9.86,7.38,9.31,7.78,8.46,1.05
BU-012,5.97,6.9,4.97,4.38,7.08,8.76,6.79,9.36,4.34,6.7
BU-013,4.8,9.87,3.34,4.54,6.14,9.15,5.23,1.55,1.67,6.7
BU-014,9.67,1.97,8.98,5.44,2.35,2.05,8.55,9.5,9.57,7.81
BU-015,8.66,9.1,1.06,3.67,3.95,1.54,4.28,3.8,5.4,1.8
BU-016,8.18,5.84,2.56,3.74,8.74,6.59,2.29,3.04,5.96,6.35
BU-017,5.93,7.39,6.07,7.59,5.26,5.29,6.32,4.12,5.08,4.37
BU-018,6.57,7.8,9.12,2.26,2.0,5.31,6.55,6.17,8.13,9.64
BU-019,6.18,2.74,3.58,4.78,6.2,9.05,3.83,9.95,6.55,4.18
BU-020,8.23,5.93,4.69,9.54,2.05,8.68,4.52,8.83,4.58,2.88
BU-021,3.14,2.31,9.17,5.47,5.06,1.1,4.68,5.62,4.71,3.65
BU-022,5.17,1.74,3.99,1.79,9.61,2.53,9.51,2.13,8.9,4.93
BU-023,2.35,1.1,1.9,5.68,9.37,6.42,9.22,4.48,4.53,4.58
BU-024,8.61,4.93,8.18,5.0,2.62,2.6,2.03,6.82,1.45,3.19
BU-025,6.78,5.16,9.46,2.62,9.85,5.54,6.45,6.84,8.7,1.23
BU-026,6.68,4.93,9.46,9.7,8.02,9.44,3.86,4.98,2.33,4.46
BU-027,5.76,5.56,6.06,3.07,2.25,9.54,3.73,3.21,3.11,6.97
BU-028,9.96,6.82,2.96,9.93,8.96,5.64,4.74,4.57,6.3,1.08
BU-029,6.17,1.62,2.11,3.14,5.08,6.58,1.19,2.54,3.79,7.39
BU-030,4.46,3.25,8.16,6.21,5.57,4.56,4.95,9.62,4.77,6.16
BU-031,4.85,5.43,2.16,5.28,1.67,9.69,8.51,9.66,5.74,7.18
BU-032,5.95,5.21,5.91,5.74,3.63,6.57,8.81,1.7,3.31,3.22
BU-033,7.62,1.42,2.97,4.43,7.87,1.43,6.83,7.46,7.85,1.64
BU-034,3.09,1.17,6.12,9.68,8.83,9.07,1.28,1.9,4.34,5.73
