id,Asesor_1,Asesor_2,Asesor_3,Asesor_4,Asesor_5,Asesor_6,Asesor_7,Asesor_8,Asesor_9,Asesor_10
BU-001,4.93,9.94,4.25,1.63,9.2,2.08,2.26,8.94,7.59,8.3
BU-002,7.45,2.08,1.36,8.37,3.28,4.78,2.92,1.77,4.81,3.77
BU-003,6.28,8.52,2.94,4.46,6.58,5.0,1.96,5.14,8.13,9.39
BU-004,3.51,9.72,9.05,7.58,8.22,1.8,4.51,4.16,2.67,8.97
BU-005,7.0,3.26,6.0,3.61,2.96,8.23,2.78,8.53,9.13,8.31
BU-006,6.96,8.86,4.87,6.18,5.25,1.18,3.71,6.64,4.49,5.39
BU-007,6.7,3.99,4.44,2.63,1.41,2.95,2.91,6.3,7.93,6.63
BU-008,8.88,6.04,8.05,6.9,6.57,6.97,2.01,5.21,5.2,4.61
BU-009,8.98,9.84,1.77,6.17,5.66,3.61,7.52,2.6,8.32,7.55
BU-010,9.55,7.64,3.62,3.38,3.8,5.51,8.04,5.48,6.74,9.27
BU-011,1.6,5.08,5.52,5.84,9.94,5.8,9.5,7.41,2.46,2.78
BU-012,8.31,7.96,9.18,4.21,9.07,8.17,1.88,5.64,3.8,3.39
BU-013,4.82,5.16,1.31,4.02,6.29,2.35,1.73,8.48,3.9,2.09
BU-014,1.72,8.99,6.57,7.23,9.02,7.82,7.99,1.18,7.93,8.46
BU-015,8.17,9.7,8.67,9.57,4.39,2.23,5.51,5.02,7.6,7.6
BU-016,4.26,1.03,4.15,2.58,2.92,4.94,9.02,9.89,9.98,4.0
BU-017,9.62,2.65,3.0,5.84,6.29,7.32,3.01,9.42,5.78,6.48
BU-018,6.16,4.23,7.58,3.26,6.02,1.5,1.8,3.02,8.67,8.35
BU-019,5.09,9.74,9.6,5.41,9.91,2.97,1.0,9.45,4.48,8.77
BU-020,2.0,3.66,4.49,9.21,2.49,9.18,9.43,7.35,7.12,5.77
BU-021,7.87,5.45,5.62,4.79,8.08,7.09,6.92,4.68,2.95,7.7
BU-022,4.93,4.7,8.82,2.21,6.02,8.49,3.68,6.92,1.37,7.39
BU-023,6.76,7.33,7.2,8.83,8.81,7.91,4.6,7.38,6.59,5.51
BU-024,4.18,7.6,9.22,9.11,7.87,4.84,8.57,1.91,2.75,3.45
BU-025,9.26,3.23,3.38,1.87,1.37,7.06,4.94,8.14,7.59,7.39
BU-026,4.64,2.41,8.06,7.12,1.41,7.4,5.96,6.52,3.7,6.65
BU-027,5.05,8.87,5.38,2.03,7.55,4.2,2.76,4.2,1.13,4.66
